timestamp,timestamp_sample,time_last_fuse,observation[0],observation[1],device_id,observation_variance[0],observation_variance[1],innovation[0],innovation[1],innovation_filtered[0],innovation_filtered[1],innovation_variance[0],innovation_variance[1],test_ratio[0],test_ratio[1],test_ratio_filtered[0],test_ratio_filtered[1],estimator_instance,innovation_rejected,fused
1777225644057000,1777225643898993,0,47.397742099999995,8.545593799999999,0,100.0,100.0,-5240971.0,-951291.1,-5240971.0,-951291.1,100.00005,100.00005,10987105000.0,361981730.0,10987105000.0,361981730.0,0,1,0
1777225644105000,1777225643950993,0,47.397742099999995,8.5455939,0,100.0,100.0,-5240971.0,-951291.2,-100.00004,-100.00004,100.00007,100.00007,10987103000.0,361981730.0,4.0,4.0,0,1,0
1777225644161000,1777225644002994,0,47.397742,8.5455939,0,100.0,100.0,-5240971.0,-951291.2,-100.000046,-100.000046,100.00009,100.00009,10987101000.0,361981630.0,-4.0,-4.0,0,1,0
1777225644209000,1777225644054994,0,47.3977419,8.545593799999999,0,100.0,100.0,-5240971.0,-951291.1,-100.00003,-100.00003,100.00006,100.00006,10987104000.0,361981700.0,-4.0,-4.0,0,1,0
1777225644265000,1777225644106994,0,47.3977419,8.545593799999999,0,100.0,100.0,-5240971.0,-951291.1,-100.000046,-100.000046,100.00009,100.00009,10987101000.0,361981600.0,-4.0,-4.0,0,1,0
1777225644313000,1777225644158995,0,47.3977419,8.545593799999999,0,100.0,100.0,-5240971.0,-951291.1,-100.00006,-100.00006,100.00012,100.00012,10987098000.0,361981470.0,-4.0,-4.0,0,1,0
1777225644369000,1777225644210995,0,47.3977419,8.545593799999999,0,100.0,100.0,-5240971.0,-951291.1,-100.000084,-100.000084,100.00017,100.00017,10987093000.0,361981300.0,-4.0,-4.0,0,1,0
1777225644417000,1777225644262996,0,47.3977418,8.545594,0,100.0,100.0,-5240971.0,-951291.2,-100.00004,-100.00004,100.00008,100.00008,10987102000.0,361981660.0,-4.0,-4.0,0,1,0
1777225644473000,1777225644314996,0,47.3977419,8.545594099999999,0,100.0,100.0,-5240971.0,-951291.2,-100.00006,-100.00006,100.00011,100.00011,10987099000.0,361981570.0,-4.0,-4.0,0,1,0
1777225644521000,1777225644366996,0,47.3977419,8.545594,0,100.0,100.0,-5240971.0,-951291.2,-100.00008,-100.00008,100.000145,100.000145,10987095000.0,361981440.0,-4.0,-4.0,0,1,0
1777225644577000,1777225644418996,0,47.3977419,8.545594,0,100.0,100.0,-5240971.0,-951291.2,-100.00009,-100.00009,100.00019,100.00019,10987090000.0,361981250.0,-4.0,-4.0,0,1,0
1777225644625000,1777225644470997,0,47.3977418,8.5455939,0,100.0,100.0,-5240971.0,-951291.2,-100.00004,-100.00004,100.000084,100.000084,10987101000.0,361981630.0,-4.0,-4.0,0,1,0
1777225644681000,1777225644522997,0,47.3977418,8.5455939,0,100.0,100.0,-5240971.0,-951291.2,-100.00006,-100.00006,100.00011,100.00011,10987099000.0,361981570.0,-4.0,-4.0,0,1,0
1777225644729000,1777225644574997,0,47.3977419,8.545594,0,100.0,100.0,-5240971.0,-951291.2,-100.00007,-100.00007,100.00014,100.00014,10987096000.0,361981470.0,-4.0,-4.0,0,1,0
1777225644785000,1777225644626997,0,47.3977419,8.545594,0,100.0,100.0,-5240971.0,-951291.2,-100.00009,-100.00009,100.00018,100.00018,10987091000.0,361981280.0,-4.0,-4.0,0,1,0
1777225644833000,1777225644678998,0,47.397742,8.545594,0,100.0,100.0,-5240971.0,-951291.2,-100.00004,-100.00004,100.00008,100.00008,10987102000.0,361981660.0,-4.0,-4.0,0,1,0
1777225644889000,1777225644730998,0,47.397742099999995,8.545594,0,100.0,100.0,-5240971.0,-951291.2,-100.00006,-100.00006,100.00011,100.00011,10987099000.0,361981570.0,-4.0,-4.0,0,1,0
1777225644937000,1777225644782998,0,47.397742,8.545594099999999,0,100.0,100.0,-5240971.0,-951291.2,-100.00007,-100.00007,100.00013,100.00013,10987097000.0,361981500.0,-4.0,-4.0,0,1,0
1777225644993000,1777225644834998,0,47.3977419,8.5455939,0,100.0,100.0,-5240971.0,-951291.2,-100.000084,-100.000084,100.000175,100.000175,10987092000.0,361981300.0,-4.0,-4.0,0,1,0
1777225645041000,1777225644886998,0,47.3977419,8.5455939,0,100.0,100.0,-5240971.0,-951291.2,-100.00004,-100.00004,100.00008,100.00008,10987102000.0,361981660.0,-4.0,-4.0,0,1,0
1777225645097000,1777225644938998,0,47.3977419,8.5455939,0,100.0,100.0,-5240971.0,-951291.2,-100.000046,-100.000046,100.0001,100.0001,10987100000.0,361981600.0,-4.0,-4.0,0,1,0
1777225645145000,1777225644990999,0,47.3977419,8.5455939,0,100.0,100.0,-5240971.0,-951291.2,-100.00007,-100.00007,100.00013,100.00013,10987097000.0,361981500.0,-4.0,-4.0,0,1,0
1777225645201000,1777225645042999,0,47.3977419,8.545593799999999,0,100.0,100.0,-5240971.0,-951291.1,-100.000084,-100.000084,100.00017,100.00017,10987093000.0,361981300.0,-4.0,-4.0,0,1,0
1777225645249000,1777225645094999,0,47.3977419,8.5455939,0,100.0,100.0,-5240971.0,-951291.2,-100.00004,-100.00004,100.00008,100.00008,10987102000.0,361981660.0,-4.0,-4.0,0,1,0
1777225645305000,1777225645146999,0,47.3977418,8.5455939,0,100.0,100.0,-5240971.0,-951291.2,-100.000046,-100.000046,100.0001,100.0001,10987100000.0,361981600.0,-4.0,-4.0,0,1,0
1777225645353000,1777225645198999,0,47.397742,8.545594,0,100.0,100.0,-5240971.0,-951291.2,-100.00007,-100.00007,100.00013,100.00013,10987097000.0,361981500.0,-4.0,-4.0,0,1,0
