timestamp,command,result_param2,target_component,result,result_param1,target_system,from_external
1777225643337000,211,0,192,5,255,33,0
1777225644433000,211,0,192,0,0,33,0
1777225654589000,512,0,190,0,0,255,0
1777225654861000,512,0,190,0,0,255,0
1777225655325000,512,0,190,0,0,255,0
1777225684765000,410,0,0,0,0,255,0
1777225685117000,400,0,0,0,0,255,0
1777225686137000,176,0,0,0,0,255,0
1777225686149000,176,0,0,0,0,255,0
1777225698957000,192,0,0,0,0,255,0
1777225723233000,176,0,0,0,0,255,0
1777225723237000,176,0,0,0,0,255,0
