timestamp,data_rate,rate_multiplier,tx_rate_avg,tx_error_rate_avg,tx_message_count,tx_buffer_overruns,rx_rate_avg,rx_message_count,rx_message_lost_count,rx_buffer_overruns,rx_parse_errors,rx_packet_drop_count,rx_message_lost_rate,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams,heartbeat_type_antenna_tracker,heartbeat_type_gcs,heartbeat_type_onboard_controller,heartbeat_type_gimbal,heartbeat_type_adsb,heartbeat_type_flarm,heartbeat_type_camera,heartbeat_type_parachute,heartbeat_type_open_drone_id,heartbeat_component_telemetry_radio,heartbeat_component_log,heartbeat_component_osd,heartbeat_component_vio,heartbeat_component_pairing_manager,heartbeat_component_udp_bridge,heartbeat_component_uart_bridge,open_drone_id_system_healthy,parachute_system_healthy
1777227499581000,4000000.0,1.0,22357.57,0.0,150288,0,41.832672,644,0,0,0,0,0.0,0,0,0,1,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777227500345000,4000000.0,1.0,22190.24,0.0,150571,0,20.916336,645,0,0,0,0,0.0,0,0,0,1,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777227501605000,4000000.0,1.0,22204.184,0.0,151053,0,41.832672,647,0,0,0,0,0.0,0,0,0,1,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777227502325000,4000000.0,1.0,22183.268,0.0,151315,0,20.916336,648,0,0,0,0,0.0,0,0,0,1,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777227503001000,4000000.0,1.0,22183.268,0.0,151571,0,20.916336,649,0,0,0,0,0.0,0,0,0,1,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777227504457000,4000000.0,1.0,22170.32,0.0,152113,0,20.916336,651,0,0,0,0,0.0,0,0,0,1,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777227505725000,4000000.0,1.0,22039.842,0.0,152597,0,41.832672,653,0,0,0,0,0.0,0,0,0,1,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777227506369000,4000000.0,1.0,22156.375,0.0,152834,0,20.916336,654,0,0,0,0,0.0,0,0,0,1,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777227507117000,4000000.0,1.0,22156.375,0.0,153114,0,20.916336,655,0,0,0,0,0.0,0,0,0,1,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777227508501000,4000000.0,1.0,22373.506,0.0,153633,0,46.81275,658,0,0,0,0,0.0,0,0,0,1,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777227509657000,4000000.0,1.0,22011.953,0.0,154076,0,41.832672,660,0,0,0,0,0.0,0,0,0,1,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777227510417000,4000000.0,1.0,22245.021,0.0,154353,0,20.916336,661,0,0,0,0,0.0,0,0,0,1,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777227511645000,4000000.0,1.0,21904.383,0.0,154823,0,41.832672,663,0,0,0,0,0.0,0,0,0,1,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777227512225000,4000000.0,1.0,21904.383,0.0,155035,0,41.832672,664,0,0,0,0,0.0,0,0,0,1,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777227513669000,4000000.0,1.0,22123.506,0.0,155584,0,20.916336,666,0,0,0,0,0.0,0,0,0,1,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777227514401000,4000000.0,1.0,22156.375,0.0,155850,0,20.916336,667,0,0,0,0,0.0,0,0,0,1,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777227515729000,4000000.0,1.0,22070.719,0.0,156357,0,41.832672,669,0,0,0,0,0.0,0,0,0,1,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777227516265000,4000000.0,1.0,22077.69,0.0,156552,0,20.916336,670,0,0,0,0,0.0,0,0,0,1,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777227517473000,4000000.0,1.0,21963.148,0.0,157001,0,41.832672,672,0,0,0,0,0.0,0,0,0,1,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777227518025000,4000000.0,1.0,21963.148,0.0,157218,0,41.832672,674,0,0,0,0,0.0,0,0,0,1,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777227519401000,4000000.0,1.0,21982.072,0.0,157729,0,20.916336,676,0,0,0,0,0.0,0,0,0,1,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777227520717000,4000000.0,1.0,22193.229,0.0,158228,0,41.832672,678,0,0,0,0,0.0,0,0,0,1,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777227521377000,4000000.0,1.0,21943.229,0.0,158470,0,20.916336,679,0,0,0,0,0.0,0,0,0,1,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777227522625000,4000000.0,1.0,22099.602,0.0,158948,0,41.832672,681,0,0,0,0,0.0,0,0,0,1,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777227523365000,4000000.0,1.0,22098.605,0.0,159217,0,20.916336,682,0,0,0,0,0.0,0,0,0,1,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777227524617000,4000000.0,1.0,22151.395,0.0,159695,0,41.832672,684,0,0,0,0,0.0,0,0,0,1,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777227525221000,4000000.0,1.0,22151.395,0.0,159915,0,41.832672,685,0,0,0,0,0.0,0,0,0,1,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777227526545000,4000000.0,1.0,22067.73,0.0,160407,0,20.916336,687,0,0,0,0,0.0,0,0,0,1,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777227527217000,4000000.0,1.0,22067.73,0.0,160660,0,20.916336,688,0,0,0,0,0.0,0,0,0,1,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777227528621000,4000000.0,1.0,22300.797,0.0,161195,0,46.81275,691,0,0,0,0,0.0,0,0,0,1,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777227529413000,4000000.0,1.0,21918.328,0.0,161480,0,20.916336,692,0,0,0,0,0.0,0,0,0,1,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777227530709000,4000000.0,1.0,22187.252,0.0,161974,0,41.832672,694,0,0,0,0,0.0,0,0,0,1,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777227531313000,4000000.0,1.0,21832.67,0.0,162191,0,41.832672,695,0,0,0,0,0.0,0,0,0,1,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777227532081000,4000000.0,1.0,21832.67,0.0,162485,0,41.832672,696,0,0,0,0,0.0,0,0,0,1,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777227533509000,4000000.0,1.0,22163.348,0.0,163012,0,20.916336,698,0,0,0,0,0.0,0,0,0,1,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777227534257000,4000000.0,1.0,22163.348,0.0,163294,0,20.916336,699,0,0,0,0,0.0,0,0,0,1,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777227535509000,4000000.0,1.0,21974.104,0.0,163759,0,20.916336,701,0,0,0,0,0.0,0,0,0,1,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777227536125000,4000000.0,1.0,21974.104,0.0,163995,0,20.916336,702,0,0,0,0,0.0,0,0,0,1,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777227537457000,4000000.0,1.0,21924.303,0.0,164487,0,20.916336,704,0,0,0,0,0.0,0,0,0,1,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777227538109000,4000000.0,1.0,21924.303,0.0,164740,0,20.916336,706,0,0,0,0,0.0,0,0,0,1,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777227539485000,4000000.0,1.0,21924.303,0.0,165248,0,20.916336,708,0,0,0,0,0.0,0,0,0,1,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777227540085000,4000000.0,1.0,21924.303,0.0,165479,0,20.916336,709,0,0,0,0,0.0,0,0,0,1,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777227541601000,4000000.0,1.0,21833.666,0.0,166050,0,20.916336,711,0,0,0,0,0.0,0,0,0,1,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777227542277000,4000000.0,1.0,21833.666,0.0,166294,0,20.916336,712,0,0,0,0,0.0,0,0,0,1,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777227543081000,4000000.0,1.0,22106.574,0.0,166597,0,41.832672,713,0,0,0,0,0.0,0,0,0,1,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777227544405000,4000000.0,1.0,22131.475,0.0,167089,0,20.916336,715,0,0,0,0,0.0,0,0,0,1,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777227545589000,4000000.0,1.0,22004.98,0.0,167542,0,41.832672,717,0,0,0,0,0.0,0,0,0,1,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777227546337000,4000000.0,1.0,22004.98,0.0,167812,0,41.832672,718,0,0,0,0,0.0,0,0,0,1,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777227546933000,4000000.0,1.0,22077.69,0.0,168036,0,41.832672,719,0,0,0,0,0.0,0,0,0,1,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777227548369000,4000000.0,1.0,21891.436,0.0,168575,0,20.916336,722,0,0,0,0,0.0,0,0,0,1,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777227549085000,4000000.0,1.0,22377.49,0.0,168843,0,67.72909,723,0,0,0,0,0.0,0,0,0,1,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777227550409000,4000000.0,1.0,22202.191,0.0,169336,0,20.916336,725,0,0,0,0,0.0,0,0,0,1,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777227551593000,4000000.0,1.0,21909.363,0.0,169787,0,41.832672,727,0,0,0,0,0.0,0,0,0,1,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777227552261000,4000000.0,1.0,21909.363,0.0,170030,0,41.832672,728,0,0,0,0,0.0,0,0,0,1,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777227553605000,4000000.0,1.0,22270.918,0.0,170543,0,38.844624,731,0,0,0,0,0.0,0,0,0,1,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777227554129000,4000000.0,1.0,22270.918,0.0,170737,0,38.844624,733,0,0,0,0,0.0,0,0,0,1,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777227555541000,4000000.0,1.0,22055.777,0.0,171260,0,20.916336,735,0,0,0,0,0.0,0,0,0,1,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
