timestamp,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2]
1777227498781000,0.0,0.9999879,-0.0,0.0,-0.0049275327,0.0,0.0,-0.001
1777227498789000,0.0,0.9999878,-0.0,0.0,-0.004951599,0.0,0.0,-0.001
1777227498829000,0.0,0.99998766,-0.0,0.0,-0.0049625686,0.0,0.0,-0.001
1777227498877000,0.0,0.9999876,-0.0,0.0,-0.004981613,0.0,0.0,-0.001
1777227498933000,0.0,0.9999873,-0.0,0.0,-0.005040863,0.0,0.0,-0.001
1777227498981000,0.0,0.999987,-0.0,0.0,-0.005093096,0.0,0.0,-0.001
1777227499029000,0.0,0.9999874,-0.0,0.0,-0.005009529,0.0,0.0,-0.001
1777227499077000,0.0,0.9999875,-0.0,0.0,-0.005007925,0.0,0.0,-0.001
1777227499133000,0.0,0.99998754,-0.0,0.0,-0.004999589,0.0,0.0,-0.001
1777227499181000,0.0,0.99998724,-0.0,0.0,-0.0050448803,0.0,0.0,-0.001
1777227499237000,0.0,0.99998707,-0.0,0.0,-0.005089196,0.0,0.0,-0.001
1777227499277000,0.0,0.9999868,-0.0,0.0,-0.005127299,0.0,0.0,-0.001
1777227499333000,0.0,0.99998677,-0.0,0.0,-0.0051517403,0.0,0.0,-0.001
1777227499381000,0.0,0.9999869,-0.0,0.0,-0.005119407,0.0,0.0,-0.001
1777227499429000,0.0,0.99998677,-0.0,0.0,-0.005142257,0.0,0.0,-0.001
1777227499477000,0.0,0.9999864,-0.0,0.0,-0.005212333,0.0,0.0,-0.001
1777227499533000,0.0,0.999986,-0.0,0.0,-0.0052884556,0.0,0.0,-0.001
1777227499581000,0.0,0.99998534,-0.0,0.0,-0.0054149735,0.0,0.0,-0.001
1777227499637000,0.0,0.99998534,-0.0,0.0,-0.0054166266,0.0,0.0,-0.001
1777227499677000,0.0,0.999986,-0.0,0.0,-0.0052971286,0.0,0.0,-0.001
1777227499733000,0.0,0.99998647,-0.0,0.0,-0.0051997555,0.0,0.0,-0.001
1777227499781000,0.0,0.9999862,-0.0,0.0,-0.0052558375,0.0,0.0,-0.001
1777227499837000,0.0,0.9999858,-0.0,0.0,-0.005321051,0.0,0.0,-0.001
1777227499885000,0.0,0.9999859,-0.0,0.0,-0.00531437,0.0,0.0,-0.001
1777227499933000,0.0,0.99998564,-0.0,0.0,-0.005358684,0.0,0.0,-0.001
1777227499981000,0.0,0.99998564,-0.0,0.0,-0.005364853,0.0,0.0,-0.001
1777227500037000,0.0,0.9999851,-0.0,0.0,-0.0054595754,0.0,0.0,-0.001
1777227500077000,0.0,0.99998504,-0.0,0.0,-0.0054725646,0.0,0.0,-0.001
1777227500133000,0.0,0.9999855,-0.0,0.0,-0.0053774584,0.0,0.0,-0.001
1777227500181000,0.0,0.9999856,-0.0,0.0,-0.005375279,0.0,0.0,-0.001
1777227500237000,0.0,0.9999852,-0.0,0.0,-0.005431621,0.0,0.0,-0.001
1777227500277000,0.0,0.99998534,-0.0,0.0,-0.005419889,0.0,0.0,-0.001
1777227500333000,0.0,0.9999736,0.0045254715,0.0015709557,-0.0054705734,0.0,0.0,-0.0019886512
1777227500381000,0.0,0.9999825,0.0010611967,-0.0018123478,-0.0055309907,0.0,0.0,-0.007692703
1777227500429000,0.0,0.99998313,0.0008463428,-0.0015818833,-0.0055315816,0.0,0.0,-0.014290783
1777227500477000,0.0,0.9999831,0.0011378309,-0.0013870804,-0.0055313483,0.0,0.0,-0.02106993
1777227500533000,0.0,0.9999827,0.0014723432,-0.0013401173,-0.0055309567,0.0,0.0,-0.029839156
1777227500581000,0.0,0.9999825,0.0015778074,-0.0014284529,-0.005530675,0.0,0.0,-0.03791289
1777227500629000,0.0,0.9999824,0.0018306276,-0.0010857055,-0.0055309515,0.0,0.0,-0.046153788
1777227500677000,0.0,0.99998236,0.0015986867,-0.0014672999,-0.0055305827,0.0,0.0,-0.05479736
1777227500733000,0.0,0.999983,0.0014816226,-0.0010828007,-0.0055313315,0.0,0.0,-0.06538879
1777227500781000,0.0,0.9999829,0.0015861128,-0.001015245,-0.005531327,0.0,0.0,-0.07510263
1777227500837000,0.0,0.999983,0.0016307532,-0.0008416106,-0.0055315676,0.0,0.0,-0.08712318
1777227500885000,0.0,0.9999829,0.0016697072,-0.0008709506,-0.005531486,0.0,0.0,-0.097655185
1777227500933000,0.0,0.99998325,0.001539066,-0.0007429021,-0.005531798,0.0,0.0,-0.108565785
1777227500981000,0.0,0.9999828,0.0017306928,-0.00092152227,-0.005531345,0.0,0.0,-0.119818114
1777227501029000,0.0,0.99998266,0.0019348148,-0.0006548419,-0.0055316794,0.0,0.0,-0.13172512
1777227501077000,0.0,0.99998295,0.0017921096,-0.00046433872,-0.005532114,0.0,0.0,-0.14371571
1777227501133000,0.0,0.9999835,0.0014491042,-0.0006113021,-0.0055320556,0.0,0.0,-0.15858097
1777227501181000,0.0,0.9999837,0.0012206078,-0.0006687814,-0.0055321236,0.0,0.0,-0.17162244
1777227501229000,0.0,0.99998313,0.0016542871,-0.0006942521,-0.005531795,0.0,0.0,-0.18501955
1777227501285000,0.0,0.99998313,0.001626515,-0.00065122155,-0.0055318843,0.0,0.0,-0.20121108
1777227501333000,0.0,0.9999815,0.0017871978,-0.00045098556,-0.005797558,0.0,0.0,-0.21565491
1777227501381000,0.0,0.99998057,0.0020052674,-0.0004591641,-0.005884569,0.0,0.0,-0.2308623
1777227501429000,0.0,0.99998116,0.0020646935,-0.0002416116,-0.005781062,0.0,0.0,-0.24622779
1777227501485000,0.0,0.99998116,0.002105698,-0.0003546712,-0.005751423,0.0,0.0,-0.26463705
1777227501533000,0.0,0.9999803,0.0023429242,-0.00059326354,-0.005799379,0.0,0.0,-0.28083202
1777227501581000,0.0,0.99998003,0.0022515338,-0.00045344053,-0.0058888597,0.0,0.0,-0.29742843
1777227501637000,0.0,0.9999799,0.0024095965,-0.00025475633,-0.0058585606,0.0,0.0,-0.31088418
1777227501677000,0.0,0.9999789,0.0027552852,-0.00043221618,-0.0058679665,0.0,0.0,-0.31458622
1777227501733000,0.0,0.99998,0.0024726344,-0.00033876786,-0.005819345,0.0,0.0,-0.3209793
1777227501781000,0.0,0.9999791,0.002724431,-0.00051621057,-0.0058337306,0.0,0.0,-0.32642075
1777227501837000,0.0,0.99997926,0.0028922264,-0.00039811147,-0.0057494203,0.0,0.0,-0.33051834
1777227501885000,0.0,0.9999792,0.0027964285,-0.00037041702,-0.005802688,0.0,0.0,-0.33740783
1777227501933000,0.0,0.99997884,0.0030699933,-0.00051077985,-0.0057124253,0.0,0.0,-0.34164408
1777227501981000,0.0,0.9999798,0.002850541,-0.000102230035,-0.0056879055,0.0,0.0,-0.34743458
1777227502029000,0.0,0.99998003,0.0026632212,1.43620555e-05,-0.0057271984,0.0,0.0,-0.35198057
1777227502077000,0.0,0.99997854,0.0030238288,-0.00030851254,-0.0058075413,0.0,0.0,-0.35655066
1777227502133000,0.0,0.9999772,0.0032886404,-0.00057525176,-0.0058752284,0.0,0.0,-0.36409727
1777227502181000,0.0,0.99997723,0.003266698,-0.00029550347,-0.0058991695,0.0,0.0,-0.3703917
1777227502229000,0.0,0.9999763,0.0033134497,0.00021888387,-0.0060365135,0.0,0.0,-0.37564772
1777227502277000,0.0,0.99997616,0.0034346725,6.887878e-05,-0.0059929867,0.0,0.0,-0.38085496
1777227502333000,0.0,0.9999767,0.0034282464,0.00013800753,-0.005903693,0.0,0.0,-0.38914764
1777227502381000,0.0,0.9999751,0.0035938576,0.00021954764,-0.006066768,0.0,0.0,-0.39583084
1777227502429000,0.0,0.9999752,0.0034950394,6.0419603e-05,-0.0061159153,0.0,0.0,-0.40159342
1777227502485000,0.0,0.99997526,0.0033058422,0.00026165697,-0.0061998563,0.0,0.0,-0.41087085
1777227502533000,0.0,0.99997485,0.0035129753,0.00023827629,-0.006152522,0.0,0.0,-0.41664243
1777227502581000,0.0,0.99997604,0.0032431865,0.0005742718,-0.0060866373,0.0,0.0,-0.42379218
1777227502637000,0.0,0.9999751,0.003551279,0.0005680007,-0.0060803983,0.0,0.0,-0.4302896
1777227502685000,0.0,0.9999755,0.0034209555,0.00062992715,-0.0060732155,0.0,0.0,-0.43980172
1777227502733000,0.0,0.99997544,0.003523769,0.00058176287,-0.006031139,0.0,0.0,-0.44620463
1777227502781000,0.0,0.9999738,0.0037864451,0.0010347135,-0.006084383,0.0,0.0,-0.4535901
1777227502837000,0.0,0.9999742,0.0038181327,0.00074929657,-0.006039253,0.0,0.0,-0.46058428
1777227502877000,0.0,0.99997324,0.004066051,0.00069595926,-0.006035998,0.0,0.0,-0.46719593
1777227502933000,0.0,0.99997395,0.0038399792,0.0008670506,-0.0060562035,0.0,0.0,-0.47776636
1777227502981000,0.0,0.99997383,0.0038238505,0.0009356159,-0.0060687317,0.0,0.0,-0.48558792
1777227503029000,0.0,0.9999746,0.003685638,0.0009167321,-0.006031657,0.0,0.0,-0.49265745
1777227503085000,0.0,0.99997455,0.003650568,0.0010333827,-0.006039915,0.0,0.0,-0.5030755
1777227503133000,0.0,0.9999749,0.0034148053,0.0013002101,-0.006066869,0.0,0.0,-0.5083225
1777227503181000,0.0,0.999979,0.0023257742,0.0010139408,-0.005957717,0.0,0.0,-0.512877
1777227503229000,0.0,0.99998045,0.0013127483,0.001107755,-0.0060145706,0.0,0.0,-0.51577204
1777227503277000,0.0,0.99998146,-2.6195667e-05,0.0011832259,-0.005977541,0.0,0.0,-0.5178686
1777227503333000,0.0,0.99998057,-0.0010948434,0.0013235362,-0.0059883967,0.0,0.0,-0.5229282
1777227503381000,0.0,0.9999795,-0.0021593743,0.0014395928,-0.0058443616,0.0,0.0,-0.5478767
1777227503429000,0.0,0.99997747,-0.0030899572,0.0013218331,-0.0058110403,0.0,0.0,-0.5435531
1777227503477000,0.0,0.9999744,-0.003997107,0.001290777,-0.005788536,0.0,0.0,-0.5396585
1777227503533000,0.0,0.99997264,-0.0045551304,0.0014316299,-0.0056496277,0.0,0.0,-0.53954726
1777227503581000,0.0,0.9999698,-0.0052439407,0.0012719893,-0.0055975965,0.0,0.0,-0.5378956
1777227503629000,0.0,0.9999682,-0.005548827,0.0013688897,-0.0055749617,0.0,0.0,-0.5347958
1777227503677000,0.0,0.9999641,-0.006224295,0.0013487434,-0.005587563,0.0,0.0,-0.5318962
1777227503733000,0.0,0.9999612,-0.006645239,0.0011993176,-0.005657362,0.0,0.0,-0.53343266
1777227503781000,0.0,0.9999599,-0.006887081,0.0010422575,-0.005631142,0.0,0.0,-0.5325553
1777227503829000,0.0,0.99995774,-0.0071910326,0.0010046739,-0.005642031,0.0,0.0,-0.53036726
1777227503877000,0.0,0.9999554,-0.0074647334,0.0012240164,-0.0056520156,0.0,0.0,-0.5277016
1777227503933000,0.0,0.9999524,-0.0077414066,0.0011201719,-0.005834888,0.0,0.0,-0.53048533
1777227503981000,0.0,0.9999542,-0.0075056492,0.0008923457,-0.0058644707,0.0,0.0,-0.53017956
1777227504037000,0.0,0.99995035,-0.007929455,0.0011480224,-0.0059215073,0.0,0.0,-0.52575135
1777227504085000,0.0,0.9999493,-0.0080238385,0.0010021718,-0.0060057635,0.0,0.0,-0.53100365
1777227504133000,0.0,0.9999497,-0.007974396,0.0010534895,-0.0059882714,0.0,0.0,-0.52871233
1777227504181000,0.0,0.9999507,-0.007911622,0.0010315058,-0.0059050582,0.0,0.0,-0.52854216
1777227504229000,0.0,0.99995023,-0.008029014,0.0012438172,-0.00578363,0.0,0.0,-0.52605903
1777227504285000,0.0,0.99994993,-0.008040719,0.0012400838,-0.0058235102,0.0,0.0,-0.52995
1777227504333000,0.0,0.9999514,-0.007927336,0.00083419896,-0.00579882,0.0,0.0,-0.52739716
1777227504381000,0.0,0.99995005,-0.008029928,0.0007205101,-0.0059070606,0.0,0.0,-0.52770936
1777227504429000,0.0,0.9999535,-0.0076318476,0.0008210306,-0.005839084,0.0,0.0,-0.5252204
1777227504485000,0.0,0.99995255,-0.007863284,0.00095007336,-0.00567012,0.0,0.0,-0.5296331
1777227504533000,0.0,0.99995476,-0.007680896,0.0009829096,-0.0055248314,0.0,0.0,-0.527116
1777227504581000,0.0,0.999954,-0.007793268,0.0011460398,-0.0054761623,0.0,0.0,-0.5271139
1777227504629000,0.0,0.99995387,-0.0077887215,0.0009833782,-0.0055305827,0.0,0.0,-0.5240938
1777227504677000,0.0,0.99995756,-0.0073572192,0.00085872423,-0.0054757246,0.0,0.0,-0.52099645
1777227504733000,0.0,0.99996096,-0.006860165,0.0010046345,-0.0054792184,0.0,0.0,-0.525827
1777227504781000,0.0,0.9999606,-0.006985876,0.00076157297,-0.005424898,0.0,0.0,-0.51554656
1777227504829000,0.0,0.9999626,-0.0067260885,0.00069028814,-0.0053880317,0.0,0.0,-0.5040569
1777227504885000,0.0,0.99996334,-0.006606355,0.00040682303,-0.0054347976,0.0,0.0,-0.500209
1777227504933000,0.0,0.9999645,-0.006358014,0.00040795,-0.0055203494,0.0,0.0,-0.49825314
1777227504981000,0.0,0.9999653,-0.0061819768,0.0003725154,-0.005579778,0.0,0.0,-0.49808756
1777227505037000,0.0,0.9999649,-0.0062723225,0.0006200614,-0.00552496,0.0,0.0,-0.4940827
1777227505085000,0.0,0.99996465,-0.006374164,0.00047857204,-0.005462116,0.0,0.0,-0.50041586
1777227505133000,0.0,0.9999672,-0.0059322203,0.000715507,-0.005463661,0.0,0.0,-0.49834234
1777227505181000,0.0,0.99996847,-0.0058917077,0.00069593714,-0.005280897,0.0,0.0,-0.4981384
1777227505229000,0.0,0.9999709,-0.005603135,0.00070239644,-0.0051205494,0.0,0.0,-0.49621123
1777227505277000,0.0,0.9999725,-0.0052449508,0.00077077356,-0.005176994,0.0,0.0,-0.4937573
1777227505333000,0.0,0.999975,-0.0047595263,0.0009437952,-0.0051405383,0.0,0.0,-0.4979759
