timestamp,freefall,ground_contact,maybe_landed,landed,in_ground_effect,in_descend,has_low_throttle,vertical_movement,horizontal_movement,rotational_movement,close_to_ground_or_skipped_check,at_rest
1777227498661000,0,1,1,1,1,1,1,0,0,0,1,1
1777227499661000,0,1,1,1,1,1,1,0,0,0,1,1
1777227500661000,0,1,1,1,1,1,1,0,0,0,1,1
1777227501141000,0,1,0,0,1,1,1,0,0,0,1,0
1777227501245000,0,0,0,0,1,0,1,0,0,0,1,0
1777227502245000,0,0,0,0,1,0,0,0,0,0,1,0
1777227503245000,0,0,0,0,1,0,0,0,0,0,1,0
1777227503333000,0,0,0,0,0,0,0,0,0,0,1,0
1777227504333000,0,0,0,0,0,0,0,1,0,0,1,0
1777227505333000,0,0,0,0,0,0,0,1,0,0,1,0
1777227506333000,0,0,0,0,0,0,0,1,0,0,1,0
1777227507333000,0,0,0,0,0,0,0,1,0,0,1,0
1777227508333000,0,0,0,0,0,0,0,1,0,0,1,0
1777227509333000,0,0,0,0,0,0,0,1,0,0,1,0
1777227510333000,0,0,0,0,0,0,0,1,0,0,1,0
1777227511333000,0,0,0,0,0,0,0,1,0,0,1,0
1777227512333000,0,0,0,0,0,0,0,1,0,0,1,0
1777227513333000,0,0,0,0,0,0,0,1,0,0,1,0
1777227514333000,0,0,0,0,0,0,0,1,1,0,1,0
1777227515333000,0,0,0,0,0,0,0,0,1,1,1,0
1777227516333000,0,0,0,0,0,0,0,0,1,0,1,0
1777227517333000,0,0,0,0,0,0,0,0,1,0,1,0
1777227518333000,0,0,0,0,0,0,0,0,1,0,1,0
1777227519333000,0,0,0,0,0,0,0,0,1,0,1,0
1777227520333000,0,0,0,0,0,0,0,0,1,0,1,0
1777227521333000,0,0,0,0,0,0,0,0,1,0,1,0
1777227522333000,0,0,0,0,0,0,0,0,1,0,1,0
1777227523333000,0,0,0,0,0,0,0,0,1,0,1,0
1777227524333000,0,0,0,0,0,0,0,0,1,0,1,0
1777227525333000,0,0,0,0,0,0,0,0,1,0,1,0
1777227526333000,0,0,0,0,0,0,0,0,1,0,1,0
1777227527333000,0,0,0,0,0,0,0,0,1,0,1,0
1777227528333000,0,0,0,0,0,0,0,0,1,0,1,0
1777227529333000,0,0,0,0,0,0,0,0,1,0,1,0
1777227530333000,0,0,0,0,0,0,0,0,1,0,1,0
1777227531333000,0,0,0,0,0,0,0,0,1,0,1,0
1777227532333000,0,0,0,0,0,0,0,0,1,0,1,0
1777227533333000,0,0,0,0,0,0,0,0,1,0,1,0
1777227534333000,0,0,0,0,0,0,0,0,1,0,1,0
1777227535333000,0,0,0,0,0,0,0,0,1,0,1,0
1777227536333000,0,0,0,0,0,0,0,0,1,0,1,0
1777227537333000,0,0,0,0,0,0,0,0,1,0,1,0
1777227538333000,0,0,0,0,0,0,0,0,1,0,1,0
1777227539333000,0,0,0,0,0,0,0,0,1,0,1,0
1777227540333000,0,0,0,0,0,0,0,0,1,0,1,0
1777227541333000,0,0,0,0,0,0,0,0,1,0,1,0
1777227542333000,0,0,0,0,0,0,0,0,1,0,1,0
1777227543333000,0,0,0,0,0,0,0,0,1,0,1,0
1777227544333000,0,0,0,0,0,0,0,0,1,0,1,0
1777227545333000,0,0,0,0,0,0,0,0,1,0,1,0
1777227546333000,0,0,0,0,0,0,0,0,1,0,1,0
1777227547333000,0,0,0,0,0,0,0,0,1,0,1,0
1777227548333000,0,0,0,0,0,0,0,0,1,0,1,0
1777227549333000,0,0,0,0,0,0,0,0,1,0,1,0
1777227550333000,0,0,0,0,0,0,0,0,1,0,1,0
1777227551333000,0,0,0,0,0,0,0,0,1,0,1,0
1777227552333000,0,0,0,0,0,0,0,0,1,0,1,0
1777227553333000,0,0,0,0,0,1,0,1,1,1,1,0
1777227554189000,0,0,0,0,1,1,0,1,0,0,1,0
1777227555189000,0,0,0,0,1,1,0,1,0,0,1,0
1777227556189000,0,0,0,0,1,1,0,1,0,0,1,0
1777227557189000,0,0,0,0,1,1,0,1,0,0,1,0
1777227558189000,0,0,0,0,1,1,0,1,0,0,1,0
1777227559189000,0,0,0,0,1,1,0,1,0,0,1,0
1777227560189000,0,0,0,0,1,1,0,1,0,0,1,0
1777227561189000,0,0,0,0,1,1,0,1,0,0,1,0
1777227562189000,0,0,0,0,1,1,0,1,0,0,1,0
1777227563189000,0,0,0,0,1,1,0,1,0,0,1,0
1777227564189000,0,0,0,0,1,1,0,1,0,0,1,0
1777227565189000,0,0,0,0,1,1,0,1,0,0,1,0
1777227566189000,0,0,0,0,1,1,0,1,0,0,1,0
1777227567189000,0,0,0,0,1,1,0,1,0,0,1,0
1777227568189000,0,0,0,0,1,1,0,1,0,0,1,0
1777227569189000,0,0,0,0,1,1,0,1,0,0,1,0
1777227570189000,0,0,0,0,1,1,0,1,0,0,1,0
1777227571189000,0,0,0,0,1,1,0,1,0,0,1,0
1777227572189000,0,0,0,0,1,1,0,1,0,0,1,0
1777227573189000,0,0,0,0,1,1,0,1,0,0,1,0
1777227573861000,0,1,0,0,1,1,1,0,0,0,1,0
1777227574213000,0,1,1,0,1,1,1,0,0,0,1,0
1777227574549000,0,1,1,1,1,1,1,0,0,0,1,1
1777227575549000,0,1,1,1,1,1,1,0,0,0,1,1
1777227576549000,0,1,1,1,1,1,1,0,0,0,1,1
1777227577549000,0,1,1,1,1,1,1,0,0,0,1,1
