timestamp,param5,param6,param1,param2,param3,param4,param7,command,source_component,target_system,target_component,source_system,confirmation,from_external
1777225796913000,0.0,0.0,1.0,4.0,4.0,0.0,0.0,176,0,1,1,255,0,1
1777225797565000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,400,0,1,1,255,0,1
1777225835741000,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,2003,1,1,0,1,0,0
1777225836017000,0.0,0.0,1.0,1.0,-1.0,-1.0,0.0,1001,1,1,0,1,0,0
1777225836017000,2.0,0.0,nan,nan,nan,nan,0.0,1000,1,1,0,1,0,0
1777225836017000,0.0,0.0,-3.0,-3.0,-1.0,-1.0,0.0,1001,1,1,0,1,0,0
1777225856421000,0.0,0.0,157.0,4.0,6.0,0.0,0.0,176,190,1,0,255,1,1
1777225856697000,0.0,0.0,1.0,1.0,-1.0,-1.0,0.0,1001,1,1,0,1,0,0
1777225856697000,2.0,0.0,nan,nan,nan,nan,0.0,1000,1,1,0,1,0,0
1777225856697000,0.0,0.0,-3.0,-3.0,-1.0,-1.0,0.0,1001,1,1,0,1,0,0
1777225857385000,0.0,0.0,157.0,4.0,6.0,0.0,0.0,176,190,1,0,255,1,1
1777225860249000,0.0,0.0,157.0,4.0,5.0,0.0,0.0,176,190,1,0,255,1,1
1777225860521000,0.0,0.0,1.0,1.0,-1.0,-1.0,0.0,1001,1,1,0,1,0,0
1777225860521000,2.0,0.0,nan,nan,nan,nan,0.0,1000,1,1,0,1,0,0
1777225860521000,0.0,0.0,-3.0,-3.0,-1.0,-1.0,0.0,1001,1,1,0,1,0,0
1777225931553000,0.0,0.0,0.0,2.0,80.0,nan,487.99612,0,1,1,0,1,0,0
