timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7],control[8],control[9],control[10],control[11],reversible_flags
1777225937769000,1777225937769000,0.0019999994,0.0,0.0019999999,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225937773000,1777225937773000,0.0,0.0019999999,0.001776013,0.0002239871,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225937869000,1777225937869000,0.0,0.0018174627,0.0020791348,0.000103402526,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225937969000,1777225937969000,0.0,0.002,0.0,0.0019999996,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225938069000,1777225938069000,0.0019999999,0.0,0.0019999999,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225938169000,1777225938169000,0.0,0.0019999999,0.0,0.0019999999,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225938269000,1777225938269000,0.0,0.0019999999,0.0,0.0019999999,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225938369000,1777225938369000,0.0019999999,0.0,0.0010759586,0.0009240412,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225938469000,1777225938469000,0.0019999999,0.0,0.0019999999,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225938569000,1777225938569000,0.0019999994,1.1641532e-10,0.0019999999,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225938669000,1777225938669000,0.0009935327,0.0016636755,1.106062e-05,0.0013317309,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225938769000,1777225938769000,0.0,0.0019999999,0.0,0.0019999999,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225938869000,1777225938869000,2.6464731e-05,0.0020345803,4.2345106e-05,0.0018966094,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225938969000,1777225938969000,0.00056635396,0.0016480124,4.883873e-05,0.0017367946,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225939069000,1777225939069000,0.0005756784,0.0009840811,0.0010921163,0.0013481239,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225939169000,1777225939169000,0.0015474188,0.0007161236,0.0011207138,0.0006157436,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225939269000,1777225939269000,0.008549432,0.009956458,0.006485032,0.009996047,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225939369000,1777225939369000,0.020373292,0.023569098,0.02176279,0.021497488,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225939469000,1777225939469000,0.036575824,0.040346317,0.036338232,0.040249243,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225939569000,1777225939569000,0.052892152,0.056636933,0.05401053,0.056402586,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225939665000,1777225939665000,0.07582989,0.07135587,0.07219986,0.074864894,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225939769000,1777225939769000,0.09149671,0.100917935,0.09424048,0.09705588,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225939869000,1777225939869000,0.12017271,0.12009374,0.12131225,0.11943361,nan,nan,nan,nan,nan,nan,nan,nan,0
