timestamp,flag_armed,flag_multicopter_position_control_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_position_enabled,flag_control_velocity_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_acceleration_enabled,flag_control_attitude_enabled,flag_control_rates_enabled,flag_control_allocation_enabled,flag_control_termination_enabled,source_id
1777225937769000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225938273000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225938777000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225938897000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225939161000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225939173000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225939677000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225940181000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225940685000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225941189000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225941697000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225942201000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225942705000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225943209000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225943713000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225944217000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225944721000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225945225000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225945729000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225946233000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225946737000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225947241000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225947745000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225948249000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225948753000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225949261000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225949765000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225950269000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225950425000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225950929000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225951013000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225951517000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225952021000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225952525000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225953029000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225953533000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225953641000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225954145000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225954649000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225955033000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225955141000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225955153000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225955417000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225955921000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225956421000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225956925000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225957429000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225957933000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225958437000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225958941000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225959445000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225959949000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225960453000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225960957000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225961461000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225961965000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225962473000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225962981000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225963485000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225963989000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225964493000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225964997000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225965501000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225966005000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225966509000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225967013000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225967517000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225968021000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225968525000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225969029000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225969533000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225970037000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225970541000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225971045000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225971549000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225972057000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225972561000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225973065000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225973569000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225973629000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225974133000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225974637000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225975141000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225975609000,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225976113000,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0
