timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,heading_var,unaided_heading,delta_heading,tilt_var,ref_alt,dist_bottom,dist_bottom_var,delta_dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max_z,hagl_max_xy,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,heading_good_for_control,xy_global,z_global,dist_bottom_valid,dist_bottom_reset_counter,dist_bottom_sensor_bitfield,dead_reckoning
1777225937769000,1777225937769000,1777225652689000,47.397742,8.5455943,-0.027647482,-0.027826725,0.018585205,-0.0005730107,0.0002314337,-487.9991,-0.0030996955,-0.0144957565,-0.04148309,-0.072391495,-2.551949e-05,-1.4980818e-05,4.813075e-06,-0.014783557,0.006465532,-0.048984304,0.01702224,0.0002987467,0.014749261,0.0050611896,1.907143e-05,487.9991,0.010009766,1e-04,-487.9991,0.12070705,0.11322653,0.080626115,0.04935209,inf,inf,inf,inf,inf,1,1,1,1,3,2,2,1,2,1,1,1,0,2,0,0
1777225937777000,1777225937777000,1777225652689000,47.397742,8.5455943,-0.027611395,-0.027832804,0.018310547,-0.0005730107,0.0002314337,-487.9991,-0.0031615621,-0.014606149,-0.0419495,-0.07262326,-2.551949e-05,-1.4980818e-05,4.813075e-06,-0.0114132315,-0.024543025,-0.06276788,0.017078072,0.00029885393,0.014803683,0.0050611896,1.9115963e-05,487.9991,0.010009766,1e-04,-487.9991,0.12111493,0.11347764,0.08092573,0.04943485,inf,inf,inf,inf,inf,1,1,1,1,3,2,2,1,2,1,1,1,0,2,0,0
1777225937785000,1777225937785000,1777225652689000,47.397742,8.5455943,-0.027573846,-0.027841486,0.018035889,-0.0005730107,0.0002314337,-487.9991,-0.0024955703,-0.014478479,-0.041731767,-0.072169915,-2.551949e-05,-1.4980818e-05,4.813075e-06,0.079661354,0.0055390927,0.02278527,0.017065777,0.00029896115,0.014789941,0.0050611896,1.9160532e-05,487.9991,0.010009766,1e-04,-487.9991,0.12152556,0.11372958,0.081226744,0.04951748,inf,inf,inf,inf,inf,1,1,1,1,3,2,2,1,2,1,1,1,0,2,0,0
1777225937793000,1777225937793000,1777225652689000,47.397742,8.5455943,-0.02753327,-0.027853252,0.01776123,-0.0005730107,0.0002314337,-487.9991,-0.002080416,-0.01463402,-0.041461624,-0.0716632,-2.551949e-05,-1.4980818e-05,4.813075e-06,0.048398063,-0.029546626,0.029371584,0.01706414,0.0002990685,0.014786815,0.0050611896,1.9205141e-05,487.9991,0.010009766,1e-04,-487.9991,0.12193897,0.11398236,0.08152896,0.049599983,inf,inf,inf,inf,inf,1,1,1,1,3,2,2,1,2,1,1,1,0,2,0,0
1777225937801000,1777225937801000,1777225652689000,47.397742,8.5455943,-0.027477143,-0.027837377,0.017486572,-0.0005730107,0.0002314337,-487.9991,-0.0022033486,-0.014814392,-0.041325904,-0.07130031,-2.551949e-05,-1.4980818e-05,4.813075e-06,-0.019788137,-0.035276882,0.012054573,0.017074276,0.0002983463,0.014795421,0.0050611896,1.8958268e-05,487.9991,0.010009766,1e-04,-487.9991,0.11970233,0.11260379,0.07987976,0.04914573,inf,inf,inf,inf,inf,1,1,1,1,3,2,2,1,2,1,1,1,0,2,0,0
1777225937809000,1777225937809000,1777225652689000,47.397742,8.5455943,-0.0274241,-0.02782693,0.017211914,-0.0005730107,0.0002314337,-487.9991,-0.0022402778,-0.015020761,-0.04130557,-0.07105165,-2.551949e-05,-1.4980818e-05,4.813075e-06,-0.008924669,-0.038145058,-0.0023194586,0.017079445,0.0002984534,0.014799733,0.0050611896,1.9002704e-05,487.9991,0.010009766,1e-04,-487.9991,0.120103374,0.11285282,0.080179185,0.049228806,inf,inf,inf,inf,inf,1,1,1,1,3,2,2,1,2,1,1,1,0,2,0,0
1777225937817000,1777225937817000,1777225652689000,47.397742,8.5455943,-0.027370742,-0.027820356,0.016967773,-0.0005730107,0.0002314337,-487.9991,-0.0018339603,-0.014906732,-0.041347984,-0.07086474,-2.551949e-05,-1.4980818e-05,4.813075e-06,0.04659125,0.0022707856,-0.010114162,0.01710381,0.00029856042,0.014823208,0.0050611896,1.9047173e-05,487.9991,0.010009766,1e-04,-487.9991,0.120507166,0.113102674,0.080478,0.04931175,inf,inf,inf,inf,inf,1,1,1,1,3,2,2,1,2,1,1,1,0,2,0,0
1777225937825000,1777225937825000,1777225652689000,47.397742,8.5455943,-0.027315646,-0.027816623,0.016693115,-0.0005730107,0.0002314337,-487.9991,-0.0013983683,-0.014888496,-0.041601513,-0.07088809,-2.551949e-05,-1.4980818e-05,4.813075e-06,0.050356153,-0.009347169,-0.03645662,0.017174061,0.00029866764,0.01489253,0.0050611896,1.909169e-05,487.9991,0.010009766,1e-04,-487.9991,0.12091369,0.113353364,0.08077809,0.04939457,inf,inf,inf,inf,inf,1,1,1,1,3,2,2,1,2,1,1,1,0,2,0,0
1777225937833000,1777225937833000,1777225652689000,47.397742,8.5455943,-0.027260257,-0.027816404,0.016418457,-0.0005730107,0.0002314337,-487.9991,-0.0014510948,-0.014962969,-0.041725885,-0.070781514,-2.551949e-05,-1.4980818e-05,4.813075e-06,-0.010579767,-0.0205903,-0.020266509,0.017210234,0.00029877492,0.014927788,0.0050611896,1.9136245e-05,487.9991,0.010009766,1e-04,-487.9991,0.12132298,0.113604896,0.08107884,0.049477264,inf,inf,inf,inf,inf,1,1,1,1,3,2,2,1,2,1,1,1,0,2,0,0
1777225937841000,1777225937841000,1777225652689000,47.397742,8.5455943,-0.027205842,-0.027820863,0.016174316,-0.0005730107,0.0002314337,-487.9991,-0.0011308043,-0.015181624,-0.041941922,-0.0707659,-2.551949e-05,-1.4980818e-05,4.813075e-06,0.0361449,-0.038269658,-0.0316794,0.017277256,0.00029888217,0.014993904,0.0050611896,1.9180834e-05,487.9991,0.010009766,1e-04,-487.9991,0.12173504,0.113857254,0.08137984,0.049559824,inf,inf,inf,inf,inf,1,1,1,1,3,2,2,1,2,1,1,1,0,2,0,0
