timestamp,unallocated_torque[0],unallocated_torque[1],unallocated_torque[2],unallocated_thrust[0],unallocated_thrust[1],unallocated_thrust[2],handled_motor_failure_mask,torque_setpoint_achieved,thrust_setpoint_achieved,actuator_saturation[0],actuator_saturation[1],actuator_saturation[2],actuator_saturation[3],actuator_saturation[4],actuator_saturation[5],actuator_saturation[6],actuator_saturation[7],actuator_saturation[8],actuator_saturation[9],actuator_saturation[10],actuator_saturation[11],actuator_saturation[12],actuator_saturation[13],actuator_saturation[14],actuator_saturation[15]
1777318619019000,-0.0022157263,0.000103964005,-0.0001891675,0.0,0.0,4.195802e-12,0,0,1,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2
1777318619027000,0.00056873925,-0.0012436614,0.00019341562,0.0,0.0,2.910383e-11,0,0,1,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2
1777318619219000,-0.00087040366,-0.0018250279,-0.0014316126,0.0,0.0,2.5688588e-11,0,0,1,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2
1777318619419000,-0.0004703097,-0.0014892351,0.00040866193,0.0,0.0,0.0,0,0,1,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2
1777318619611000,0.00074534456,-0.0008489318,-0.0006640135,0.0,0.0,0.0,0,0,1,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2
1777318619819000,-0.0015808083,-5.820766e-11,-0.00030800822,0.0,0.0,-1.1641532e-10,0,0,1,0,-2,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318620019000,0.00198496,-0.0017352016,-0.0011833443,0.0,0.0,-1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318620219000,-0.0028102174,-0.00604091,0.0012348021,0.0,0.0,1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318620419000,0.001143747,-0.006354553,0.00073878973,0.0,0.0,-2.3283064e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318620619000,-0.0047461675,-0.0034580892,-0.0014701644,0.0,0.0,1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318620819000,-0.00438324,-0.0028370598,0.0020758447,0.0,0.0,0.0,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318621019000,-0.0058438415,1.7462298e-10,-0.001720875,0.0,0.0,-1.1641532e-10,0,0,1,0,-2,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318621219000,-0.006081933,-0.001241366,-5.87095e-06,0.0,0.0,0.0,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318621419000,-0.003895692,-0.0023687482,0.0011025188,0.0,0.0,-1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318621619000,-0.0013725068,0.0010886891,0.0009813124,0.0,0.0,-1.1641532e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
1777318621819000,0.00019288933,-0.0019582477,0.0012392657,0.0,0.0,0.0,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318622019000,-0.0006643959,0.0,-6.0936145e-11,0.0,0.0,-1.1641532e-10,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318622211000,-0.0046859924,5.820766e-11,-0.00010109736,0.0,0.0,-1.1641532e-10,0,0,1,0,-2,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318622419000,-0.0038161203,-0.0035039415,0.000106228654,0.0,0.0,-2.3283064e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318622619000,0.00035119388,-0.0019767394,0.00066678016,0.0,0.0,-1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318622819000,-0.0032085532,-0.0026594736,-0.001406388,0.0,0.0,-1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318623019000,0.0012888844,-0.0010710035,0.0018570967,0.0,0.0,-1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318623219000,-0.005663826,-0.0026345258,0.0021267342,0.0,0.0,1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318623419000,-0.0012223409,-0.0022685141,0.0005486006,0.0,0.0,-1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318623619000,-0.002659419,-0.0022432366,0.0013281998,0.0,0.0,-2.3283064e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318623819000,-0.0014242708,-0.0017173687,0.0012245483,0.0,0.0,0.0,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318624019000,-0.0014649332,1.1641532e-10,0.0004514384,0.0,0.0,0.0,0,0,1,0,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318624219000,-0.0032918216,-0.00052402064,9.690953e-07,0.0,0.0,-1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318624419000,-0.0044848933,-0.0032031685,0.00026267456,0.0,0.0,-1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318624619000,-0.0014310501,-0.0042986125,-0.0010132627,0.0,0.0,0.0,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318624819000,-0.001646734,-0.0020029382,-0.0003904126,0.0,0.0,-1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318625019000,0.003628426,-0.0058834986,-0.0006216091,0.0,0.0,0.0,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318625219000,-0.0014094922,-0.00034828414,-0.00072044146,0.0,0.0,-1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318625419000,-0.002667461,-0.0025597617,-0.00038050194,0.0,0.0,0.0,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318625619000,-0.009685233,-0.005310867,-0.00072197773,0.0,0.0,3.4924597e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318625819000,-0.0033871746,-0.002550608,0.0021007343,0.0,0.0,-2.3283064e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318626019000,-0.0024363818,-8.731149e-11,-0.00015919021,0.0,0.0,-1.1641532e-10,0,0,1,0,-2,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318626219000,-0.006305105,-0.003432431,0.0006618746,0.0,0.0,-1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318626419000,-0.00090223976,-0.0057502575,-0.00035674538,0.0,0.0,-1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318626619000,-0.0026537622,-0.0064048474,-0.001681978,0.0,0.0,-2.3283064e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318626819000,-0.006319808,-0.0063257744,-0.002108297,0.0,0.0,1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318627019000,-0.005781518,0.0,-0.0011547258,0.0,0.0,0.0,0,0,1,-2,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318627219000,-0.0021617042,-0.005207587,-0.001561089,0.0,0.0,-2.3283064e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318627419000,-0.00022547878,-0.004493802,0.0012176827,0.0,0.0,-2.3283064e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318627619000,-0.0017845621,-0.0040611094,4.3454816e-06,0.0,0.0,-1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318627819000,-0.0013939629,-0.0068811853,-0.00037489744,0.0,0.0,1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318628019000,-0.005125566,-0.0034711447,-0.0005719693,0.0,0.0,-1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318628219000,-0.0029553452,1.1641532e-10,0.0007846855,0.0,0.0,-1.1641532e-10,0,0,1,0,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318628419000,0.00083634444,-0.001692343,0.0012309883,0.0,0.0,0.0,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318628619000,-0.00051410426,-0.0004340182,-0.0015547852,0.0,0.0,-1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318628819000,-0.0038463732,-0.005699141,0.00072951464,0.0,0.0,0.0,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318629019000,-0.0029002116,-0.0016968356,0.0007710486,0.0,0.0,0.0,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318629219000,-0.0034604343,0.00053746,0.0019937486,0.0,0.0,-1.1641532e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
1777318629419000,-0.0048310426,-0.007996815,0.0016551533,0.0,0.0,1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318629619000,-0.001866322,-0.0004944416,-0.00057343824,0.0,0.0,-1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318629819000,-0.008049785,-0.0015348705,0.0005024178,0.0,0.0,1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318630019000,-0.0050469707,-0.0059161913,-0.00014834634,0.0,0.0,-1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318630219000,-0.0015048049,-0.0007993912,-0.00012831097,0.0,0.0,-1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318630419000,-0.0048903944,-0.004988916,0.00012330913,0.0,0.0,0.0,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318630611000,-0.0045010373,-0.0062846313,4.799272e-05,0.0,0.0,1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318630819000,-0.0063005234,-0.002199335,0.0007374874,0.0,0.0,1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318631019000,-0.0020569433,-5.820766e-11,-1.7462298e-10,0.0,0.0,-1.1641532e-10,0,0,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318631219000,-0.0058595506,-0.0046155564,0.0013856764,0.0,0.0,-1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318631419000,-0.002976666,-0.006598102,0.0009136207,0.0,0.0,0.0,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318631619000,-0.004309327,-0.0070619765,0.0005747932,0.0,0.0,3.4924597e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318631819000,-0.008296482,-0.0023045214,-0.00017707159,0.0,0.0,0.0,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318632019000,-0.0071709873,-0.002603437,-0.0020011908,0.0,0.0,0.0,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
