timestamp,timestamp_sample,time_last_fuse,device_id,observation[0],observation[1],observation_variance[0],observation_variance[1],innovation[0],innovation[1],innovation_variance[0],innovation_variance[1],test_ratio[0],test_ratio[1],estimator_instance,fusion_enabled,innovation_rejected,fused
1777318627623000,1777318627509000,0,0,0.0,0.0,15.681599,15.681599,-0.0018547081,-0.000984528,15.681705,15.681705,8.774408e-09,2.4724234e-09,0,1,0,0
1777318627679000,1777318627561000,0,0,0.0,0.0,15.0543995,15.0543995,-0.0022415246,-0.0011558746,15.054535,15.054535,1.33499505e-08,3.5498833e-09,0,1,0,0
1777318627727000,1777318627613000,0,0,0.0,0.0,14.44,14.44,-0.0010504291,-0.0005960434,14.440068,14.440068,3.0564986e-09,9.841166e-10,0,1,0,0
1777318627783000,1777318627665000,0,0,0.0,0.0,13.8384,13.8384,-0.0012846951,-0.0008129525,13.8384905,13.8384905,4.7705826e-09,1.9103004e-09,0,1,0,0
1777318627839000,1777318627717000,0,0,0.0,0.0,13.249599,13.249599,-0.0016037924,-0.0010143224,13.249732,13.249732,7.765139e-09,3.1060252e-09,0,1,0,0
1777318627887000,1777318627769000,0,0,0.0,0.0,12.7449,12.7449,-0.0019240951,-0.001137894,12.745093,12.745093,1.1619035e-08,4.0636903e-09,0,1,0,0
1777318627943000,1777318627821000,0,0,0.0,0.0,12.25,12.25,-0.00068479794,-0.00031583259,12.250094,12.250094,1.5312478e-09,3.257125e-10,0,1,0,0
1777318627991000,1777318627873000,0,0,0.0,0.0,11.764899,11.764899,-0.0007087611,-0.00023457993,11.765049,11.765049,1.707914e-09,1.8708887e-10,0,1,0,0
1777318628039000,1777318627925000,0,0,0.0,0.0,11.289599,11.289599,-0.0007237157,-9.022897e-05,11.28984,11.28984,1.8557018e-09,2.8844576e-11,0,1,0,0
1777318628095000,1777318627977000,0,0,0.0,0.0,10.8241,10.8241,-0.00075401977,0.00013099684,10.824503,10.824503,2.1009585e-09,6.341232e-11,0,1,0,0
1777318628143000,1777318628029000,0,0,0.0,0.0,10.368401,10.368401,-9.243644e-05,0.00015348235,10.368509,10.368509,3.2963257e-11,9.0878374e-11,0,1,0,0
1777318628199000,1777318628081000,0,0,0.0,0.0,9.985599,9.985599,-3.332536e-05,0.00032018594,9.985766,9.985766,4.44865e-12,4.1066064e-10,0,1,0,0
1777318628247000,1777318628133000,0,0,0.0,0.0,9.5480995,9.5480995,5.1836585e-05,0.0005382783,9.548348,9.548348,1.1256529e-11,1.2137955e-09,0,1,0,0
1777318628303000,1777318628185000,0,0,0.0,0.0,9.1809,9.1809,0.00013521795,0.00083108374,9.181283,9.181283,7.965725e-11,3.0091662e-09,0,1,0,0
1777318628359000,1777318628237000,0,0,0.0,0.0,8.8209,8.8209,6.842206e-05,0.00024589256,8.821005,8.821005,2.1229227e-11,2.7417807e-10,0,1,0,0
1777318628407000,1777318628289000,0,0,0.0,0.0,8.468099,8.468099,0.00014118655,0.00031567767,8.4682455,8.4682455,9.4157133e-11,4.707109e-10,0,1,0,0
1777318628463000,1777318628341000,0,0,0.0,0.0,8.122499,8.122499,0.00021596687,0.00040991209,8.122715,8.122715,2.2968522e-10,8.274471e-10,0,1,0,0
1777318628511000,1777318628393000,0,0,0.0,0.0,7.8399997,7.8399997,0.0002618621,0.00054025423,7.8402925,7.8402925,3.4984285e-10,1.4891008e-09,0,1,0,0
1777318628559000,1777318628445000,0,0,0.0,0.0,7.5076,7.5076,8.9285095e-05,0.00019276698,7.507693,7.507693,4.2472855e-11,1.9797884e-10,0,1,0,0
1777318628615000,1777318628497000,0,0,0.0,0.0,7.2361,7.2361,7.048255e-05,0.000282142,7.236228,7.236228,2.7460659e-11,4.4003096e-10,0,1,0,0
1777318628663000,1777318628549000,0,0,0.0,0.0,6.916899,6.916899,1.5048267e-05,0.0003797374,6.9170685,6.9170685,1.3095164e-12,8.3388213e-10,0,1,0,0
1777318628719000,1777318628601000,0,0,0.0,0.0,6.6563997,6.6563997,-7.966055e-05,0.00047204972,6.6566324,6.6566324,3.8132216e-11,1.339001e-09,0,1,0,0
1777318628767000,1777318628653000,0,0,0.0,0.0,6.4009,6.4009,-9.205958e-05,0.00017073566,6.4009852,6.4009852,5.2960383e-11,1.8216362e-10,0,1,0,0
1777318628823000,1777318628705000,0,0,0.0,0.0,6.1504,6.1504,-0.00020857489,0.000199974,6.1505136,6.1505136,2.8292585e-10,2.6007327e-10,0,1,0,0
1777318628879000,1777318628757000,0,0,0.0,0.0,5.904899,5.904899,-0.00033335132,0.00021066256,5.905052,5.905052,7.527323e-10,3.0061523e-10,0,1,0,0
1777318628927000,1777318628809000,0,0,0.011119493,0.0,5.6643996,5.6643996,-0.011559672,0.0002789854,5.664595,5.664595,9.435874e-07,5.496092e-10,0,1,0,0
1777318628983000,1777318628861000,0,0,0.0,0.00752684,5.4756,5.4756,-0.00019805017,-0.0073862076,5.475682,5.475682,2.865314e-10,3.9853347e-07,0,1,0,0
1777318629031000,1777318628913000,0,0,0.011119493,0.00752684,5.2440996,5.2440996,-0.011343218,-0.007331635,5.2442036,5.2442036,9.814158e-07,4.0999834e-07,0,1,0,0
1777318629079000,1777318628965000,0,0,0.0,0.0,5.0625,5.0625,-0.00018832275,0.00025539068,5.0626316,5.0626316,2.8021363e-10,5.153399e-10,0,1,0,0
1777318629135000,1777318629017000,0,0,-0.011119492,0.01505368,4.84,4.84,0.011006396,-0.0147440955,4.8401723,4.8401723,1.0011277e-06,1.796534e-06,0,1,0,0
1777318629183000,1777318629069000,0,0,0.0,0.0,4.6655993,4.6655993,2.594672e-05,0.00013177493,4.6656747,4.6656747,5.771789e-12,1.4887133e-10,0,1,0,0
1777318629239000,1777318629121000,0,0,0.0,0.0,4.4943995,4.4943995,4.2755524e-05,0.00019546227,4.494497,4.494497,1.6269095e-11,3.4002026e-10,0,1,0,0
1777318629295000,1777318629173000,0,0,0.011119493,-0.00752684,4.3264,4.3264,-0.011019182,0.0077782236,4.326526,4.326526,1.1225854e-06,5.5934726e-07,0,1,0,0
1777318629343000,1777318629225000,0,0,0.011119493,0.0,4.1615996,4.1615996,-0.010944162,0.00031240337,4.161757,4.161757,1.1511934e-06,9.380257e-10,0,1,0,0
1777318629399000,1777318629277000,0,0,0.022238987,-0.00752684,4.0,4.0,-0.022114,0.0076907477,4.0000744,4.0000744,4.890199e-06,5.91465e-07,0,1,0,0
1777318629447000,1777318629329000,0,0,0.022238987,-0.00752684,3.8415997,3.8415997,-0.022070915,0.0077170003,3.8416924,3.8416924,5.071986e-06,6.2006103e-07,0,1,0,0
1777318629503000,1777318629381000,0,0,0.011119493,-0.02258052,3.7248998,3.7248998,-0.010860817,0.022809928,3.7250192,3.7250192,1.2666494e-06,5.587008e-06,0,1,0,0
1777318629551000,1777318629433000,0,0,0.011119493,-0.01505368,3.5721,3.5721,-0.010762223,0.015302349,3.5722477,3.5722477,1.2969475e-06,2.6220118e-06,0,1,0,0
1777318629607000,1777318629485000,0,0,0.011119493,-0.02258052,3.4596,3.4596,-0.010879824,0.022690881,3.4596725,3.4596725,1.3685753e-06,5.9528884e-06,0,1,0,0
1777318629655000,1777318629537000,0,0,0.0,-0.01505368,3.3123999,3.3123999,0.00037763396,0.015173165,3.3124895,3.3124895,1.722057e-09,2.7800834e-06,0,1,0,0
1777318629703000,1777318629589000,0,0,0.011119493,-0.02258052,3.2041,3.2041,-0.0106375115,0.022752061,3.2042108,3.2042108,1.4125993e-06,6.4622004e-06,0,1,0,0
1777318629759000,1777318629641000,0,0,0.0,-0.00752684,3.0625,3.0625,0.00059646275,0.007724126,3.0626416,3.0626416,4.6465485e-09,7.792243e-07,0,1,0,0
1777318629815000,1777318629693000,0,0,0.011119493,0.00752684,2.9583998,2.9583998,-0.01087726,-0.007459051,2.9584708,2.9584708,1.5996749e-06,7.522459e-07,0,1,0,0
1777318629863000,1777318629745000,0,0,0.011119493,0.0,2.8560998,2.8560998,-0.010861494,9.9687546e-05,2.8561876,2.8561876,1.652161e-06,1.3917303e-10,0,1,0,0
1777318629911000,1777318629797000,0,0,0.011119493,0.00752684,2.7556,2.7556,-0.010807502,-0.0073953457,2.755708,2.755708,1.6954206e-06,7.938597e-07,0,1,0,0
1777318629967000,1777318629849000,0,0,0.0,0.01505368,2.6569,2.6569,0.00037802127,-0.014899319,2.6570375,2.6570375,2.1512694e-09,3.3419133e-06,0,1,0,0
1777318630015000,1777318629901000,0,0,0.0,0.01505368,2.5599997,2.5599997,0.00020623059,-0.014968901,2.560068,2.560068,6.6453015e-10,3.5009698e-06,0,1,0,0
1777318630071000,1777318629953000,0,0,0.011119493,0.02258052,2.4648998,2.4648998,-0.010769873,-0.022468062,2.464986,2.464986,1.882204e-06,8.191751e-06,0,1,0,0
1777318630119000,1777318630005000,0,0,0.0,0.00752684,2.3716,2.3716,0.0004923559,-0.007426158,2.3717062,2.3717062,4.0884376e-09,9.300953e-07,0,1,0,0
1777318630175000,1777318630057000,0,0,0.011119493,0.01505368,2.2800999,2.2800999,-0.010450617,-0.015022085,2.2802348,2.2802348,1.9158624e-06,3.958593e-06,0,1,0,0
1777318630231000,1777318630109000,0,0,0.022238987,0.0,2.2201,2.2201,-0.021860559,-4.0746803e-05,2.2201693,2.2201693,8.609866e-06,2.991307e-11,0,1,0,0
1777318630279000,1777318630161000,0,0,0.011119493,0.00752684,2.1315997,2.1315997,-0.010631179,-0.0076178336,2.131685,2.131685,2.1208007e-06,1.0889299e-06,0,1,0,0
1777318630327000,1777318630213000,0,0,0.011119493,-0.00752684,2.0449,2.0449,-0.010482343,0.007412379,2.045005,2.045005,2.1492272e-06,1.0746842e-06,0,1,0,0
1777318630383000,1777318630265000,0,0,0.033358477,-0.01505368,1.9880999,1.9880999,-0.03255803,0.014961041,1.9882332,1.9882332,2.1325977e-05,4.5031484e-06,0,1,0,0
1777318630431000,1777318630317000,0,0,0.033358477,-0.00752684,1.9044,1.9044,-0.032985672,0.007538524,1.9044672,1.9044672,2.2852682e-05,1.193601e-06,0,1,0,0
1777318630487000,1777318630369000,0,0,0.033358477,0.0,1.8496001,1.8496001,-0.03295228,8.3331746e-05,1.849685,1.849685,2.3481896e-05,1.5017e-10,0,1,0,0
1777318630535000,1777318630421000,0,0,0.04447797,-0.01505368,1.7955998,1.7955998,-0.044004332,0.015187379,1.7957041,1.7957041,4.3133634e-05,5.1379616e-06,0,1,0,0
1777318630591000,1777318630473000,0,0,0.033358477,-0.01505368,1.7160999,1.7160999,-0.032777846,0.015224903,1.7162321,1.7162321,2.5040606e-05,5.4024786e-06,0,1,0,0
1777318630647000,1777318630525000,0,0,0.033358477,-0.00752684,1.6640999,1.6640999,-0.03301381,0.0076196506,1.6641687,1.6641687,2.6197142e-05,1.3955093e-06,0,1,0,0
1777318630695000,1777318630577000,0,0,0.022238987,0.0,1.6128999,1.6128999,-0.021761827,0.00013120264,1.6129844,1.6129844,1.1744121e-05,4.2688902e-10,0,1,0,0
1777318630751000,1777318630629000,0,0,0.022238987,0.00752684,1.5625,1.5625,-0.021666411,-0.007326307,1.5626074,1.5626074,1.2016669e-05,1.3739797e-06,0,1,0,0
1777318630799000,1777318630681000,0,0,0.033358477,0.00752684,1.5129,1.5129,-0.03271692,-0.0072670383,1.5130315,1.5130315,2.8298069e-05,1.3961335e-06,0,1,0,0
1777318630847000,1777318630733000,0,0,0.033358477,0.00752684,1.4399998,1.4399998,-0.033041462,-0.0073655453,1.4400667,1.4400667,3.0324658e-05,1.5069096e-06,0,1,0,0
1777318630903000,1777318630785000,0,0,0.022238987,0.0,1.3923999,1.3923999,-0.021855533,0.0002401036,1.3924842,1.3924842,1.3721214e-05,1.6560258e-09,0,1,0,0
1777318630951000,1777318630837000,0,0,0.022238987,0.0,1.3455999,1.3455999,-0.021800851,0.00028118613,1.3457034,1.3457034,1.4127248e-05,2.3501654e-09,0,1,0,0
1777318631007000,1777318630889000,0,0,0.022238987,0.01505368,1.3225,1.3225,-0.021756867,-0.014767704,1.322631,1.322631,1.4315746e-05,6.5954923e-06,0,1,0,0
1777318631063000,1777318630941000,0,0,0.011119493,0.00752684,1.2768999,1.2768999,-0.010893587,-0.007443187,1.2769685,1.2769685,3.7172488e-06,1.7353923e-06,0,1,0,0
1777318631111000,1777318630993000,0,0,0.011119493,-0.00752684,1.2321,1.2321,-0.0108295055,0.0076001044,1.232184,1.232184,3.8071646e-06,1.875096e-06,0,1,0,0
1777318631167000,1777318631045000,0,0,0.022238987,-0.00752684,1.1881001,1.1881001,-0.021826934,0.00762226,1.1882069,1.1882069,1.6038117e-05,1.9558495e-06,0,1,0,0
1777318631215000,1777318631097000,0,0,0.022238987,-0.00752684,1.1448998,1.1448998,-0.021718444,0.0076508154,1.1450306,1.1450306,1.6477841e-05,2.0448354e-06,0,1,0,0
1777318631271000,1777318631149000,0,0,0.033358477,0.0,1.1024998,1.1024998,-0.03303335,4.6513986e-05,1.1025683,1.1025683,3.958765e-05,7.849132e-11,0,1,0,0
1777318631319000,1777318631201000,0,0,0.022238987,0.00752684,1.0816,1.0816,-0.02177574,-0.007487037,1.081684,1.081684,1.7534987e-05,2.072906e-06,0,1,0,0
1777318631367000,1777318631253000,0,0,0.022238987,0.00752684,1.0403999,1.0403999,-0.021659855,-0.0075032245,1.040503,1.040503,1.8035482e-05,2.1642754e-06,0,1,0,0
1777318631423000,1777318631305000,0,0,0.011119493,0.00752684,1.0201,1.0201,-0.010410376,-0.0075214086,1.0202307,1.0202307,4.2490756e-06,2.2179922e-06,0,1,0,0
1777318631479000,1777318631357000,0,0,0.022238987,0.00752684,0.9800999,0.9800999,-0.021886079,-0.007549674,0.98016834,0.98016834,1.9547682e-05,2.3260322e-06,0,1,0,0
1777318631527000,1777318631409000,0,0,0.022238987,0.00752684,0.94089997,0.94089997,-0.021851406,-0.007566997,0.9409839,0.9409839,2.029722e-05,2.4340243e-06,0,1,0,0
1777318631575000,1777318631461000,0,0,0.022238987,-0.00752684,0.9216,0.9216,-0.021827606,0.007468227,0.92170304,0.92170304,2.0676698e-05,2.420494e-06,0,1,0,0
1777318631631000,1777318631513000,0,0,0.022238987,0.0,0.8836,0.8836,-0.021802664,-6.383387e-05,0.88373053,0.88373053,2.1515887e-05,1.8443462e-10,0,1,0,0
1777318631679000,1777318631565000,0,0,0.022238987,-0.00752684,0.8649,0.8649,-0.02205105,0.007540504,0.86496663,0.86496663,2.248636e-05,2.6294285e-06,0,1,0,0
1777318631735000,1777318631617000,0,0,0.022238987,0.0,0.8463999,0.8463999,-0.02206569,0.00011836167,0.8464838,0.8464838,2.3007866e-05,6.620084e-10,0,1,0,0
1777318631791000,1777318631669000,0,0,0.011119493,0.0,0.80999994,0.80999994,-0.010926265,0.0002877286,0.8101065,0.8101065,5.8946953e-06,4.087746e-09,0,1,0,0
1777318631839000,1777318631721000,0,0,0.0,0.0,0.79209995,0.79209995,0.00018394142,0.00038070622,0.7922304,0.7922304,1.7083134e-09,7.317932e-09,0,1,0,0
1777318631895000,1777318631773000,0,0,0.011119493,0.01505368,0.7744,0.7744,-0.011059644,-0.014851387,0.77446836,0.77446836,6.3174025e-06,1.1391747e-05,0,1,0,0
1777318631943000,1777318631825000,0,0,0.011119493,0.02258052,0.73959994,0.73959994,-0.011109312,-0.02232734,0.73968387,0.73968387,6.674031e-06,2.6958009e-05,0,1,0,0
1777318631991000,1777318631877000,0,0,0.011119493,0.01505368,0.72249997,0.72249997,-0.0111712925,-0.014723142,0.72260296,0.72260296,6.908235e-06,1.19994465e-05,0,1,0,0
1777318632047000,1777318631929000,0,0,0.022238987,0.00752684,0.70559996,0.70559996,-0.022378622,-0.007105928,0.70573044,0.70573044,2.838493e-05,2.8619545e-06,0,1,0,0
1777318632095000,1777318631981000,0,0,0.011119493,0.02258052,0.6889,0.6889,-0.011261039,-0.022379363,0.6889666,0.68896663,7.362389e-06,2.9077513e-05,0,1,0,0
1777318632151000,1777318632033000,0,0,0.022238987,0.01505368,0.6561,0.6561,-0.02251291,-0.014815774,0.6561839,0.6561839,3.0895677e-05,1.3380831e-05,0,1,0,0
1777318632207000,1777318632085000,0,0,0.033358477,0.01505368,0.6399999,0.6399999,-0.033707142,-0.014718819,0.6401065,0.6401065,7.0998896e-05,1.3537975e-05,0,1,0,0
1777318632255000,1777318632137000,0,0,0.022238987,0.00752684,0.6240999,0.6240999,-0.022635857,-0.0070941737,0.62423044,0.62423044,3.2832875e-05,3.224918e-06,0,1,0,0
1777318632311000,1777318632189000,0,0,0.022238987,0.0,0.6083999,0.6083999,-0.02245618,0.00027702862,0.6084683,0.6084683,3.3150784e-05,5.045118e-09,0,1,0,0
1777318632359000,1777318632241000,0,0,0.011119493,0.00752684,0.5929,0.5929,-0.011387065,-0.0071249697,0.5929839,0.5929839,8.746629e-06,3.4243894e-06,0,1,0,0
1777318632415000,1777318632293000,0,0,0.022238987,0.01505368,0.5776,0.5776,-0.022489972,-0.0144673,0.57770663,0.57770663,3.5021156e-05,1.4491976e-05,0,1,0,0
1777318632463000,1777318632345000,0,0,0.011119493,0.01505368,0.5625,0.5625,-0.011347917,-0.01425105,0.56263053,0.56263053,9.155225e-06,1.4438776e-05,0,1,0,0
1777318632511000,1777318632397000,0,0,0.011119493,0.00752684,0.54760003,0.54760003,-0.011179703,-0.0070004067,0.54766667,0.54766667,9.128601e-06,3.5792352e-06,0,1,0,0
1777318632567000,1777318632449000,0,0,0.022238987,0.01505368,0.5328999,0.5328999,-0.022221353,-0.014291506,0.53298384,0.53298384,3.705842e-05,1.532858e-05,0,1,0,0
1777318632615000,1777318632501000,0,0,0.022238987,0.01505368,0.51839995,0.51839995,-0.02210689,-0.01411183,0.518503,0.518503,3.7701964e-05,1.5362977e-05,0,1,0,0
1777318632671000,1777318632553000,0,0,0.022238987,0.0,0.50409997,0.50409997,-0.021955831,0.0011257323,0.50423056,0.50423056,3.8241116e-05,1.00531246e-07,0,1,0,0
1777318632719000,1777318632605000,0,0,0.033358477,0.01505368,0.48999998,0.48999998,-0.03315487,-0.014478552,0.49006662,0.49006662,8.972213e-05,1.7110202e-05,0,1,0,0
1777318632775000,1777318632657000,0,0,0.033358477,0.0,0.4761,0.4761,-0.0330452,0.00070781785,0.47618395,0.47618395,9.1728005e-05,4.208509e-08,0,1,0,0
1777318632823000,1777318632709000,0,0,0.011119493,0.0,0.46240002,0.46240002,-0.010697534,0.00081010716,0.4625031,0.4625031,9.897209e-06,5.6758417e-08,0,1,0,0
1777318632879000,1777318632761000,0,0,0.011119493,-0.00752684,0.44889995,0.44889995,-0.010528974,0.008438552,0.44903055,0.44903058,9.875435e-06,6.343368e-06,0,1,0,0
1777318632935000,1777318632813000,0,0,0.011119493,-0.01505368,0.44889995,0.44889995,-0.0107246665,0.01552151,0.44896838,0.44896838,1.0247356e-05,2.1464073e-05,0,1,0,0
1777318632983000,1777318632865000,0,0,0.022238987,-0.00752684,0.43559995,0.43559995,-0.021637049,0.008077491,0.4356839,0.43568394,4.2981792e-05,5.9902013e-06,0,1,0,0
1777318633031000,1777318632917000,0,0,0.022238987,-0.00752684,0.42249995,0.42249995,-0.021442914,0.008181837,0.42260307,0.42260307,4.352061e-05,6.336202e-06,0,1,0,0
1777318633087000,1777318632969000,0,0,0.022238987,-0.00752684,0.4096,0.4096,-0.021182396,0.00832922,0.4097306,0.40973064,4.3803793e-05,6.7728306e-06,0,1,0,0
1777318633143000,1777318633021000,0,0,0.022238987,0.00752684,0.3969,0.3969,-0.02163357,-0.007092432,0.39696842,0.39696842,4.715854e-05,5.068675e-06,0,1,0,0
1777318633191000,1777318633073000,0,0,0.022238987,0.0,0.3969,0.3969,-0.02147712,0.00053260376,0.39698398,0.39698398,4.6477107e-05,2.8582187e-08,0,1,0,0
1777318633247000,1777318633125000,0,0,0.011119493,0.0,0.3844,0.3844,-0.01015702,0.0007354289,0.38450673,0.38450673,1.0732198e-05,5.626488e-08,0,1,0,0
1777318633295000,1777318633177000,0,0,0.022238987,-0.00752684,0.37210003,0.37210003,-0.021157937,0.008456308,0.3722307,0.3722307,4.8105467e-05,7.68439e-06,0,1,0,0
1777318633343000,1777318633229000,1777318633263000,0,0.022238987,-0.00752684,0.35999995,0.35999995,-0.02172532,0.008037038,0.36006662,0.36006662,5.2433577e-05,7.1757813e-06,0,1,0,0
1777318633399000,1777318633281000,1777318633319000,0,0.011119493,-0.01505368,0.35999995,0.35999995,0.011138522,0.0075521655,0.7202822,0.7202822,6.8898926e-06,3.167381e-06,0,1,0,1
1777318633455000,1777318633333000,1777318633375000,0,0.011119493,-0.01505368,0.34809998,0.34809998,0.005560928,0.0038164565,0.5284528,0.5284528,2.340714e-06,1.1024894e-06,0,1,0,1
1777318633503000,1777318633385000,1777318633423000,0,0.011119493,-0.01505368,0.33639997,0.33639997,0.0036729714,0.00252714,0.45539612,0.45539612,1.1849656e-06,5.609566e-07,0,1,0,1
1777318633559000,1777318633437000,1777318633479000,0,0.011119493,-0.01505368,0.33639997,0.33639997,0.002738716,0.0019345479,0.424527,0.424527,7.067222e-07,3.5262548e-07,0,1,0,1
1777318633607000,1777318633489000,1777318633527000,0,0.033358477,-0.02258052,0.3249,0.3249,-0.020058963,0.009081524,0.39490962,0.39490962,4.0754847e-05,8.353717e-06,0,1,0,1
1777318633655000,1777318633541000,1777318633575000,0,0.022238987,-0.02258052,0.3249,0.3249,-0.005339008,0.007483,0.38266894,0.38266894,2.9795995e-06,5.8531314e-06,0,1,0,1
1777318633711000,1777318633593000,1777318633631000,0,0.033358477,-0.02258052,0.3136,0.3136,-0.015534243,0.006368393,0.362856,0.362856,2.6601483e-05,4.4708017e-06,0,1,0,1
1777318633767000,1777318633645000,1777318633687000,0,0.022238987,-0.01505368,0.3025,0.3025,-0.0021628756,-0.0019508079,0.34527877,0.34527877,5.419425e-07,4.408787e-07,0,1,0,1
1777318633815000,1777318633697000,1777318633735000,0,0.04447797,0.0,0.3025,0.3025,-0.024018109,-0.016714556,0.34014672,0.34014672,6.783773e-05,3.2853633e-05,0,1,0,1
1777318633871000,1777318633749000,1777318633791000,0,0.04447797,0.0,0.29159996,0.29159996,-0.021214942,-0.014803176,0.32528526,0.32528526,5.5345114e-05,2.694669e-05,0,1,0,1
1777318633919000,1777318633801000,1777318633839000,0,0.022238987,0.00752684,0.29159996,0.29159996,0.0033516157,-0.020744104,0.32196274,0.32196274,1.395606e-06,5.346182e-05,0,1,0,1
1777318633967000,1777318633853000,1777318633887000,0,0.011119493,-0.00752684,0.28089997,0.28089997,0.014264609,-0.0036776178,0.30856302,0.30856302,2.6377635e-05,1.7532719e-06,0,1,0,1
