timestamp,safe_points_id,is_evaluation_pending,has_vtol_approach,rtl_type,safe_point_index
1777225992425000,0,0,0,1,255
1777225994441000,0,0,0,1,255
1777225996457000,0,0,0,1,255
1777225998473000,0,0,0,1,255
1777226000489000,0,0,0,1,255
1777226002513000,0,0,0,1,255
1777226004529000,0,0,0,1,255
1777226006545000,0,0,0,1,255
1777226008561000,0,0,0,1,255
1777226010577000,0,0,0,1,255
1777226012593000,0,0,0,1,255
1777226014609000,0,0,0,1,255
1777226016625000,0,0,0,1,255
1777226018641000,0,0,0,1,255
1777226020657000,0,0,0,1,255
1777226022673000,0,0,0,1,255
1777226024689000,0,0,0,1,255
1777226026737000,0,0,0,1,255
1777226028761000,0,0,0,1,255
1777226030717000,0,0,0,1,255
