timestamp,defer_failsafes_timeout_s,disable_auto_disarm,defer_failsafes,disable_auto_set_home,source_type,source_id
1777226213221000,0,0,0,0,0,0
1777226213725000,0,0,0,0,0,0
1777226214229000,0,0,0,0,0,0
1777226214733000,0,0,0,0,0,0
1777226215237000,0,0,0,0,0,0
1777226215741000,0,0,0,0,0,0
1777226216245000,0,0,0,0,0,0
1777226216749000,0,0,0,0,0,0
1777226217253000,0,0,0,0,0,0
1777226217757000,0,0,0,0,0,0
1777226218261000,0,0,0,0,0,0
1777226218765000,0,0,0,0,0,0
1777226219269000,0,0,0,0,0,0
1777226219773000,0,0,0,0,0,0
1777226220277000,0,0,0,0,0,0
1777226220781000,0,0,0,0,0,0
1777226221285000,0,0,0,0,0,0
1777226221789000,0,0,0,0,0,0
1777226222293000,0,0,0,0,0,0
1777226222797000,0,0,0,0,0,0
1777226223301000,0,0,0,0,0,0
1777226223805000,0,0,0,0,0,0
1777226224309000,0,0,0,0,0,0
1777226224813000,0,0,0,0,0,0
1777226225317000,0,0,0,0,0,0
1777226225821000,0,0,0,0,0,0
1777226226325000,0,0,0,0,0,0
1777226226829000,0,0,0,0,0,0
1777226227333000,0,0,0,0,0,0
1777226227837000,0,0,0,0,0,0
1777226228341000,0,0,0,0,0,0
1777226228845000,0,0,0,0,0,0
1777226229353000,0,0,0,0,0,0
