timestamp,timestamp_sample,baro_device_id,baro_alt_meter,baro_pressure_pa,ambient_temperature,rho,temperature_source,calibration_count
1777226214729000,1777226214705000,6620172,487.85867,95600.8,15.0,1.1556058,0,1
1777226214781000,1777226214757000,6620172,487.88214,95600.516,15.0,1.1556023,0,1
1777226214833000,1777226214809000,6620172,487.89624,95600.37,15.0,1.1556005,0,1
1777226214885000,1777226214861000,6620172,487.915,95600.17,15.0,1.1555983,0,1
1777226214937000,1777226214913000,6620172,487.915,95600.17,15.0,1.1555983,0,1
1777226214989000,1777226214965000,6620172,487.87744,95600.61,15.0,1.1556035,0,1
1777226215041000,1777226215017000,6620172,487.88684,95600.47,15.0,1.1556017,0,1
1777226215093000,1777226215069000,6620172,487.88684,95600.5,15.0,1.1556022,0,1
1777226215145000,1777226215121000,6620172,487.89624,95600.375,15.0,1.1556007,0,1
1777226215197000,1777226215173000,6620172,487.88684,95600.484,15.0,1.155602,0,1
1777226215249000,1777226215225000,6620172,487.89154,95600.43,15.0,1.1556013,0,1
1777226215301000,1777226215277000,6620172,487.8258,95601.17,15.0,1.1556103,0,1
1777226215353000,1777226215329000,6620172,487.87744,95600.63,15.0,1.1556038,0,1
1777226215405000,1777226215381000,6620172,487.84927,95600.91,15.0,1.155607,0,1
1777226215457000,1777226215433000,6620172,487.79764,95601.516,15.0,1.1556145,0,1
1777226215509000,1777226215485000,6620172,487.86337,95600.734,15.0,1.1556051,0,1
1777226215561000,1777226215537000,6620172,487.87744,95600.62,15.0,1.1556035,0,1
1777226215613000,1777226215589000,6620172,487.86337,95600.766,15.0,1.1556053,0,1
1777226215665000,1777226215641000,6620172,487.85397,95600.875,15.0,1.1556067,0,1
1777226215717000,1777226215693000,6620172,487.84927,95600.93,15.0,1.1556073,0,1
1777226215769000,1777226215745000,6620172,487.84927,95600.914,15.0,1.1556071,0,1
1777226215821000,1777226215797000,6620172,487.90094,95600.34,15.0,1.1556003,0,1
1777226215873000,1777226215849000,6620172,487.85867,95600.83,15.0,1.155606,0,1
1777226215925000,1777226215901000,6620172,487.88214,95600.555,15.0,1.1556028,0,1
1777226215977000,1777226215953000,6620172,487.84457,95600.984,15.0,1.1556079,0,1
1777226216029000,1777226216005000,6620172,487.84457,95600.96,15.0,1.1556078,0,1
1777226216081000,1777226216057000,6620172,487.84927,95600.89,15.0,1.155607,0,1
1777226216133000,1777226216109000,6620172,487.89154,95600.42,15.0,1.1556013,0,1
1777226216185000,1777226216161000,6620172,487.87744,95600.61,15.0,1.1556035,0,1
1777226216237000,1777226216213000,6620172,487.84927,95600.91,15.0,1.155607,0,1
1777226216289000,1777226216265000,6620172,487.84927,95600.91,15.0,1.155607,0,1
1777226216341000,1777226216317000,6620172,487.8352,95601.08,15.0,1.1556091,0,1
1777226216393000,1777226216369000,6620172,487.86337,95600.76,15.0,1.1556052,0,1
1777226216445000,1777226216421000,6620172,487.85867,95600.82,15.0,1.155606,0,1
1777226216497000,1777226216473000,6620172,487.9056,95600.3,15.0,1.1555997,0,1
1777226216549000,1777226216525000,6620172,487.8399,95601.01,15.0,1.1556083,0,1
1777226216601000,1777226216577000,6620172,487.9338,95599.93,15.0,1.1555953,0,1
1777226216653000,1777226216629000,6620172,487.84927,95600.93,15.0,1.1556073,0,1
1777226216705000,1777226216681000,6620172,487.84927,95600.92,15.0,1.1556072,0,1
1777226216757000,1777226216733000,6620172,487.84457,95600.99,15.0,1.155608,0,1
1777226216809000,1777226216785000,6620172,487.8399,95601.055,15.0,1.1556088,0,1
1777226216861000,1777226216837000,6620172,487.86807,95600.695,15.0,1.1556045,0,1
1777226216913000,1777226216889000,6620172,487.87277,95600.664,15.0,1.1556041,0,1
1777226216965000,1777226216941000,6620172,487.9291,95600.016,15.0,1.1555964,0,1
1777226217017000,1777226216993000,6620172,487.86337,95600.79,15.0,1.1556057,0,1
1777226217069000,1777226217045000,6620172,487.88214,95600.57,15.0,1.155603,0,1
1777226217121000,1777226217097000,6620172,487.88214,95600.516,15.0,1.1556023,0,1
1777226217173000,1777226217149000,6620172,487.86337,95600.79,15.0,1.1556057,0,1
1777226217225000,1777226217201000,6620172,487.84927,95600.92,15.0,1.1556072,0,1
1777226217277000,1777226217253000,6620172,487.88684,95600.51,15.0,1.1556022,0,1
1777226217329000,1777226217305000,6620172,487.85397,95600.875,15.0,1.1556067,0,1
1777226217381000,1777226217357000,6620172,487.9197,95600.125,15.0,1.1555976,0,1
1777226217433000,1777226217409000,6620172,487.87277,95600.64,15.0,1.1556039,0,1
1777226217485000,1777226217461000,6620172,487.9103,95600.22,15.0,1.1555988,0,1
1777226217537000,1777226217513000,6620172,487.84927,95600.92,15.0,1.1556072,0,1
1777226217589000,1777226217565000,6620172,487.90094,95600.336,15.0,1.1556002,0,1
1777226217641000,1777226217617000,6620172,487.87277,95600.64,15.0,1.1556039,0,1
1777226217693000,1777226217669000,6620172,487.87744,95600.61,15.0,1.1556035,0,1
1777226217745000,1777226217721000,6620172,487.9056,95600.28,15.0,1.1555995,0,1
1777226217797000,1777226217773000,6620172,487.86337,95600.734,15.0,1.1556051,0,1
1777226217849000,1777226217825000,6620172,487.9244,95600.04,15.0,1.1555965,0,1
1777226217901000,1777226217877000,6620172,487.95258,95599.734,15.0,1.1555929,0,1
1777226217953000,1777226217929000,6620172,487.95258,95599.7,15.0,1.1555926,0,1
1777226218005000,1777226217981000,6620172,487.97604,95599.46,15.0,1.1555896,0,1
1777226218057000,1777226218033000,6620172,488.0089,95599.12,15.0,1.1555854,0,1
1777226218109000,1777226218085000,6620172,488.0981,95598.055,15.0,1.1555727,0,1
1777226218161000,1777226218137000,6620172,488.0934,95598.09,15.0,1.155573,0,1
1777226218213000,1777226218189000,6620172,488.17795,95597.13,15.0,1.1555614,0,1
1777226218265000,1777226218241000,6620172,488.24835,95596.36,15.0,1.155552,0,1
1777226218317000,1777226218293000,6620172,488.28122,95595.984,15.0,1.1555476,0,1
1777226218369000,1777226218345000,6620172,488.34225,95595.28,15.0,1.155539,0,1
1777226218421000,1777226218397000,6620172,488.5019,95593.45,15.0,1.155517,0,1
1777226218473000,1777226218449000,6620172,488.46902,95593.84,15.0,1.1555216,0,1
1777226218525000,1777226218501000,6620172,488.5958,95592.38,15.0,1.1555041,0,1
1777226218577000,1777226218553000,6620172,488.71317,95590.984,15.0,1.1554872,0,1
1777226218629000,1777226218605000,6620172,488.7836,95590.234,15.0,1.155478,0,1
1777226218681000,1777226218657000,6620172,488.8634,95589.29,15.0,1.1554666,0,1
1777226218733000,1777226218709000,6620172,489.0418,95587.266,15.0,1.1554422,0,1
1777226218785000,1777226218761000,6620172,489.10284,95586.55,15.0,1.1554334,0,1
1777226218837000,1777226218813000,6620172,489.28125,95584.53,15.0,1.1554091,0,1
1777226218889000,1777226218865000,6620172,489.35638,95583.64,15.0,1.1553984,0,1
1777226218941000,1777226218917000,6620172,489.4503,95582.58,15.0,1.1553856,0,1
1777226218993000,1777226218969000,6620172,489.6146,95580.66,15.0,1.1553622,0,1
1777226219045000,1777226219021000,6620172,489.76016,95579.03,15.0,1.1553427,0,1
1777226219097000,1777226219073000,6620172,489.83997,95578.11,15.0,1.1553315,0,1
1777226219149000,1777226219125000,6620172,489.94327,95576.92,15.0,1.1553172,0,1
1777226219201000,1777226219177000,6620172,490.06064,95575.586,15.0,1.155301,0,1
1777226219253000,1777226219229000,6620172,490.19678,95574.0,15.0,1.1552818,0,1
1777226219305000,1777226219281000,6620172,490.30478,95572.766,15.0,1.155267,0,1
1777226219357000,1777226219333000,6620172,490.46442,95570.96,15.0,1.1552452,0,1
1777226219409000,1777226219385000,6620172,490.52075,95570.305,15.0,1.1552372,0,1
1777226219461000,1777226219437000,6620172,490.70386,95568.21,15.0,1.1552119,0,1
1777226219513000,1777226219489000,6620172,490.7602,95567.59,15.0,1.1552044,0,1
1777226219565000,1777226219541000,6620172,490.87286,95566.305,15.0,1.1551888,0,1
1777226219617000,1777226219593000,6620172,491.05127,95564.234,15.0,1.1551638,0,1
1777226219669000,1777226219645000,6620172,491.10294,95563.66,15.0,1.1551569,0,1
1777226219721000,1777226219697000,6620172,491.225,95562.24,15.0,1.1551397,0,1
1777226219773000,1777226219749000,6620172,491.24377,95562.05,15.0,1.1551373,0,1
1777226219825000,1777226219801000,6620172,491.3846,95560.43,15.0,1.1551179,0,1
1777226219877000,1777226219853000,6620172,491.45975,95559.53,15.0,1.1551069,0,1
1777226219929000,1777226219905000,6620172,491.51138,95558.96,15.0,1.1551,0,1
1777226219981000,1777226219957000,6620172,491.59592,95558.01,15.0,1.1550885,0,1
1777226220033000,1777226220009000,6620172,491.67102,95557.16,15.0,1.1550782,0,1
1777226220085000,1777226220061000,6620172,491.68042,95557.05,15.0,1.155077,0,1
1777226220137000,1777226220113000,6620172,491.7086,95556.68,15.0,1.1550726,0,1
1777226220189000,1777226220165000,6620172,491.76492,95556.07,15.0,1.1550651,0,1
1777226220241000,1777226220217000,6620172,491.7837,95555.84,15.0,1.1550623,0,1
1777226220293000,1777226220269000,6620172,491.76492,95556.055,15.0,1.155065,0,1
1777226220345000,1777226220321000,6620172,491.85883,95555.0,15.0,1.1550522,0,1
1777226220397000,1777226220373000,6620172,491.76962,95556.0,15.0,1.1550642,0,1
1777226220449000,1777226220425000,6620172,491.76962,95556.016,15.0,1.1550645,0,1
1777226220501000,1777226220477000,6620172,491.75552,95556.14,15.0,1.1550659,0,1
1777226220553000,1777226220529000,6620172,491.718,95556.59,15.0,1.1550715,0,1
1777226220605000,1777226220581000,6620172,491.76022,95556.086,15.0,1.1550653,0,1
1777226220657000,1777226220633000,6620172,491.73206,95556.45,15.0,1.1550697,0,1
1777226220709000,1777226220685000,6620172,491.65695,95557.305,15.0,1.1550801,0,1
1777226220761000,1777226220737000,6620172,491.6053,95557.914,15.0,1.1550875,0,1
1777226220813000,1777226220789000,6620172,491.62875,95557.59,15.0,1.1550835,0,1
1777226220865000,1777226220841000,6620172,491.502,95559.08,15.0,1.1551014,0,1
1777226220917000,1777226220893000,6620172,491.47852,95559.33,15.0,1.1551045,0,1
1777226220969000,1777226220945000,6620172,491.35645,95560.766,15.0,1.1551219,0,1
1777226221021000,1777226220997000,6620172,491.3987,95560.25,15.0,1.1551156,0,1
1777226221073000,1777226221049000,6620172,491.32358,95561.11,15.0,1.155126,0,1
1777226221125000,1777226221101000,6620172,491.29074,95561.47,15.0,1.1551304,0,1
1777226221177000,1777226221153000,6620172,491.25317,95561.91,15.0,1.1551356,0,1
1777226221229000,1777226221205000,6620172,491.10764,95563.58,15.0,1.1551559,0,1
1777226221281000,1777226221257000,6620172,491.10294,95563.66,15.0,1.1551569,0,1
1777226221333000,1777226221309000,6620172,490.99963,95564.805,15.0,1.1551707,0,1
1777226221385000,1777226221361000,6620172,490.89633,95566.016,15.0,1.1551853,0,1
1777226221437000,1777226221413000,6620172,490.91513,95565.82,15.0,1.155183,0,1
1777226221489000,1777226221465000,6620172,490.7649,95567.5,15.0,1.1552033,0,1
1777226221541000,1777226221517000,6620172,490.7696,95567.484,15.0,1.1552031,0,1
1777226221593000,1777226221569000,6620172,490.62872,95569.07,15.0,1.1552223,0,1
1777226221645000,1777226221621000,6620172,490.5818,95569.62,15.0,1.1552289,0,1
1777226221697000,1777226221673000,6620172,490.48788,95570.7,15.0,1.155242,0,1
1777226221749000,1777226221725000,6620172,490.3658,95572.08,15.0,1.1552585,0,1
1777226221801000,1777226221777000,6620172,490.3564,95572.21,15.0,1.1552602,0,1
1777226221853000,1777226221829000,6620172,490.28598,95572.984,15.0,1.1552696,0,1
1777226221905000,1777226221881000,6620172,490.15924,95574.43,15.0,1.155287,0,1
1777226221957000,1777226221933000,6620172,490.06064,95575.59,15.0,1.1553011,0,1
1777226222009000,1777226221985000,6620172,490.02307,95576.04,15.0,1.1553065,0,1
1777226222061000,1777226222037000,6620172,489.93857,95577.0,15.0,1.1553181,0,1
1777226222113000,1777226222089000,6620172,489.88693,95577.59,15.0,1.1553253,0,1
1777226222165000,1777226222141000,6620172,489.76016,95579.05,15.0,1.1553428,0,1
1777226222217000,1777226222193000,6620172,489.69443,95579.79,15.0,1.1553518,0,1
1777226222269000,1777226222245000,6620172,489.5489,95581.43,15.0,1.1553715,0,1
1777226222321000,1777226222297000,6620172,489.48315,95582.195,15.0,1.155381,0,1
1777226222373000,1777226222349000,6620172,489.40332,95583.125,15.0,1.1553922,0,1
1777226222425000,1777226222401000,6620172,489.33762,95583.836,15.0,1.1554008,0,1
1777226222477000,1777226222453000,6620172,489.27658,95584.586,15.0,1.1554098,0,1
