timestamp,timestamp_sample,lat,lon,alt,alt_ellipsoid,delta_alt,delta_terrain,eph,epv,terrain_alt,lat_lon_valid,alt_valid,lat_lon_reset_counter,alt_reset_counter,terrain_reset_counter,terrain_alt_valid,dead_reckoning
1777226214745000,1777226214745000,47.399257900728976,8.545593741076585,488.03616,488.03616,487.9991,487.9991,0.12191277,0.11398475,488.02487,1,1,4,2,2,0,0
1777226214753000,1777226214753000,47.3992579001837,8.545593740522545,488.03616,488.03616,487.9991,487.9991,0.1196813,0.11260607,488.02368,1,1,4,2,2,0,0
1777226214761000,1777226214761000,47.39925789968468,8.545593739951723,488.03613,488.03613,487.9991,487.9991,0.12007966,0.112855114,488.02383,1,1,4,2,2,0,0
1777226214769000,1777226214769000,47.39925789923689,8.545593739373569,488.03613,488.03613,487.9991,487.9991,0.12048294,0.11310499,488.024,1,1,4,2,2,0,0
1777226214777000,1777226214777000,47.3992578988286,8.545593738764884,488.0361,488.0361,487.9991,487.9991,0.12088895,0.1133557,488.02414,1,1,4,2,2,0,0
1777226214785000,1777226214785000,47.39925789845257,8.545593738132629,488.0361,488.0361,487.9991,487.9991,0.121297725,0.11360725,488.0243,1,1,4,2,2,0,0
1777226214793000,1777226214793000,47.399257898080144,8.545593737477118,488.03613,488.03613,487.9991,487.9991,0.12170926,0.11385963,488.02444,1,1,4,2,2,0,0
1777226214801000,1777226214801000,47.39925789771568,8.545593736764166,488.03613,488.03613,487.9991,487.9991,0.12212355,0.11405276,488.0246,1,1,4,2,2,0,0
1777226214809000,1777226214809000,47.39925789718265,8.545593736475674,488.0361,488.0361,487.9991,487.9991,0.11987718,0.112729125,488.0234,1,1,4,2,2,0,0
1777226214817000,1777226214817000,47.39925789668823,8.5455937361536,488.03607,488.03607,487.9991,487.9991,0.12027908,0.11297857,488.02356,1,1,4,2,2,0,0
1777226214825000,1777226214825000,47.39925789624135,8.545593735789929,488.03607,488.03607,487.9991,487.9991,0.12068372,0.11322886,488.0237,1,1,4,2,2,0,0
1777226214833000,1777226214833000,47.39925789584757,8.545593735412519,488.03607,488.03607,487.9991,487.9991,0.12108875,0.11347998,488.02386,1,1,4,2,2,0,0
1777226214841000,1777226214841000,47.39925789549347,8.545593735033133,488.03607,488.03607,487.9991,487.9991,0.121498846,0.113731936,488.02402,1,1,4,2,2,0,0
1777226214849000,1777226214849000,47.39925789516927,8.545593734625708,488.03607,488.03607,487.9991,487.9991,0.1219117,0.113984734,488.02417,1,1,4,2,2,0,0
1777226214857000,1777226214857000,47.39925789470797,8.545593734637956,488.03604,488.03604,487.9991,487.9991,0.11968034,0.11260605,488.02292,1,1,4,2,2,0,0
1777226214865000,1777226214865000,47.399257894271955,8.545593734584887,488.036,488.036,487.9991,487.9991,0.12008091,0.11285509,488.02307,1,1,4,2,2,0,0
1777226214873000,1777226214873000,47.39925789384344,8.54559373448527,488.03598,488.03598,487.9991,487.9991,0.120484225,0.11310497,488.02322,1,1,4,2,2,0,0
1777226214881000,1777226214881000,47.39925789345471,8.545593734317167,488.03595,488.03595,487.9991,487.9991,0.12089028,0.11335568,488.02338,1,1,4,2,2,0,0
1777226214889000,1777226214889000,47.39925789311703,8.545593734084985,488.03595,488.03595,487.9991,487.9991,0.121299095,0.11360723,488.02353,1,1,4,2,2,0,0
