timestamp,airspeed_timestamp_rel,airspeed_validated_timestamp_rel,distance_sensor_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
1777226730196000,32767,32767,32767,32767,32767,32767,32767
1777226730200000,32767,32767,32767,32767,32767,32767,32767
1777226730204000,32767,32767,32767,32767,32767,32767,32767
1777226730208000,32767,32767,32767,32767,32767,32767,32767
1777226730212000,32767,32767,32767,32767,32767,32767,32767
1777226730216000,32767,32767,32767,32767,32767,32767,32767
1777226730220000,32767,32767,32767,32767,32767,32767,32767
1777226730224000,32767,32767,32767,32767,32767,160,32767
1777226730244000,32767,32767,32767,32767,0,32767,32767
1777226730248000,32767,32767,32767,32767,32767,32767,32767
1777226730252000,32767,32767,32767,32767,32767,32767,32767
1777226730256000,32767,32767,32767,32767,32767,0,32767
1777226730260000,32767,32767,32767,32767,32767,32767,32767
1777226730264000,32767,32767,32767,32767,32767,32767,32767
1777226730268000,32767,32767,32767,32767,32767,32767,32767
1777226730272000,32767,32767,32767,32767,32767,32767,32767
1777226730276000,32767,32767,32767,32767,32767,32767,32767
1777226730280000,32767,32767,32767,32767,32767,32767,32767
1777226730284000,32767,32767,32767,32767,32767,32767,32767
1777226730288000,32767,32767,32767,32767,32767,32767,32767
1777226730292000,32767,32767,32767,32767,32767,32767,32767
1777226730296000,32767,32767,32767,32767,0,32767,32767
1777226730300000,32767,32767,32767,32767,32767,32767,32767
1777226730304000,32767,32767,32767,32767,32767,32767,32767
1777226730308000,32767,32767,32767,32767,32767,32767,32767
1777226730312000,32767,32767,32767,32767,32767,32767,32767
1777226730316000,32767,32767,32767,32767,32767,32767,32767
1777226730320000,32767,32767,32767,32767,32767,32767,32767
1777226730324000,32767,32767,32767,32767,32767,32767,32767
1777226730328000,32767,32767,32767,32767,32767,32767,32767
1777226730332000,32767,32767,32767,32767,32767,32767,32767
1777226730336000,32767,32767,32767,32767,32767,32767,32767
1777226730340000,32767,32767,32767,32767,32767,32767,32767
1777226730344000,32767,32767,32767,32767,32767,32767,32767
1777226730348000,32767,32767,32767,32767,0,32767,32767
1777226730352000,32767,32767,32767,32767,32767,32767,32767
1777226730356000,32767,32767,32767,32767,32767,32767,32767
1777226730360000,32767,32767,32767,32767,32767,32767,32767
1777226730364000,32767,32767,32767,32767,32767,32767,32767
1777226730368000,32767,32767,32767,32767,32767,32767,32767
1777226730372000,32767,32767,32767,32767,32767,32767,32767
1777226730376000,32767,32767,32767,32767,32767,0,32767
1777226730380000,32767,32767,32767,32767,32767,32767,32767
1777226730384000,32767,32767,32767,32767,32767,32767,32767
1777226730388000,32767,32767,32767,32767,32767,32767,32767
1777226730392000,32767,32767,32767,32767,32767,0,32767
1777226730396000,32767,32767,32767,32767,40,32767,32767
1777226730400000,32767,32767,32767,32767,32767,32767,32767
1777226730404000,32767,32767,32767,32767,32767,32767,32767
1777226730408000,32767,32767,32767,32767,32767,32767,32767
1777226730412000,32767,32767,32767,32767,32767,32767,32767
1777226730416000,32767,32767,32767,32767,32767,32767,32767
1777226730420000,32767,32767,32767,32767,32767,32767,32767
1777226730424000,32767,32767,32767,32767,32767,32767,32767
1777226730428000,32767,32767,32767,32767,32767,32767,32767
1777226730432000,32767,32767,32767,32767,32767,32767,32767
1777226730436000,32767,32767,32767,32767,32767,32767,32767
1777226730440000,32767,32767,32767,32767,32767,32767,32767
1777226730444000,32767,32767,32767,32767,32767,32767,32767
1777226730448000,32767,32767,32767,32767,40,32767,32767
1777226730452000,32767,32767,32767,32767,32767,32767,32767
1777226730456000,32767,32767,32767,32767,32767,32767,32767
1777226730460000,32767,32767,32767,32767,32767,32767,32767
1777226730464000,32767,32767,32767,32767,32767,32767,32767
1777226730468000,32767,32767,32767,32767,32767,32767,32767
1777226730472000,32767,32767,32767,32767,32767,32767,32767
1777226730476000,32767,32767,32767,32767,32767,32767,32767
1777226730480000,32767,32767,32767,32767,32767,32767,32767
1777226730484000,32767,32767,32767,32767,32767,32767,32767
1777226730488000,32767,32767,32767,32767,32767,32767,32767
1777226730492000,32767,32767,32767,32767,32767,32767,32767
1777226730496000,32767,32767,32767,32767,32767,32767,32767
1777226730500000,32767,32767,32767,32767,40,32767,32767
1777226730504000,32767,32767,32767,32767,32767,32767,32767
1777226730508000,32767,32767,32767,32767,32767,40,32767
1777226730512000,32767,32767,32767,32767,32767,32767,32767
1777226730516000,32767,32767,32767,32767,32767,32767,32767
1777226730520000,32767,32767,32767,32767,32767,32767,32767
1777226730524000,32767,32767,32767,32767,32767,40,32767
1777226730528000,32767,32767,32767,32767,32767,32767,32767
1777226730532000,32767,32767,32767,32767,32767,32767,32767
1777226730536000,32767,32767,32767,32767,32767,32767,32767
1777226730540000,32767,32767,32767,32767,32767,32767,32767
1777226730544000,32767,32767,32767,32767,32767,32767,32767
1777226730548000,32767,32767,32767,32767,32767,32767,32767
1777226730552000,32767,32767,32767,32767,40,32767,32767
1777226730556000,32767,32767,32767,32767,32767,32767,32767
1777226730560000,32767,32767,32767,32767,32767,32767,32767
1777226730564000,32767,32767,32767,32767,32767,32767,32767
1777226730568000,32767,32767,32767,32767,32767,32767,32767
1777226730572000,32767,32767,32767,32767,32767,32767,32767
1777226730576000,32767,32767,32767,32767,32767,32767,32767
1777226730580000,32767,32767,32767,32767,32767,32767,32767
1777226730584000,32767,32767,32767,32767,32767,32767,32767
1777226730588000,32767,32767,32767,32767,32767,32767,32767
1777226730592000,32767,32767,32767,32767,32767,32767,32767
1777226730596000,32767,32767,32767,32767,32767,32767,32767
1777226730600000,32767,32767,32767,32767,32767,32767,32767
1777226730604000,32767,32767,32767,32767,40,32767,32767
1777226730608000,32767,32767,32767,32767,32767,32767,32767
1777226730612000,32767,32767,32767,32767,32767,32767,32767
1777226730616000,32767,32767,32767,32767,32767,32767,32767
1777226730620000,32767,32767,32767,32767,32767,32767,32767
1777226730624000,32767,32767,32767,32767,32767,32767,32767
1777226730628000,32767,32767,32767,32767,32767,32767,32767
1777226730632000,32767,32767,32767,32767,32767,32767,32767
1777226730636000,32767,32767,32767,32767,32767,32767,32767
1777226730640000,32767,32767,32767,32767,32767,32767,32767
1777226730644000,32767,32767,32767,32767,32767,40,32767
1777226730648000,32767,32767,32767,32767,32767,32767,32767
1777226730652000,32767,32767,32767,32767,32767,32767,32767
1777226730656000,32767,32767,32767,32767,40,32767,32767
1777226730660000,32767,32767,32767,32767,32767,40,32767
1777226730664000,32767,32767,32767,32767,32767,32767,32767
1777226730668000,32767,32767,32767,32767,32767,32767,32767
1777226730672000,32767,32767,32767,32767,32767,32767,32767
1777226730676000,32767,32767,32767,32767,32767,32767,32767
1777226730680000,32767,32767,32767,32767,32767,32767,32767
1777226730684000,32767,32767,32767,32767,32767,32767,32767
1777226730688000,32767,32767,32767,32767,32767,32767,32767
1777226730692000,32767,32767,32767,32767,32767,32767,32767
1777226730696000,32767,32767,32767,32767,32767,32767,32767
1777226730700000,32767,32767,32767,32767,32767,32767,32767
1777226730704000,32767,32767,32767,32767,32767,32767,32767
1777226730708000,32767,32767,32767,32767,40,32767,32767
1777226730712000,32767,32767,32767,32767,32767,32767,32767
1777226730716000,32767,32767,32767,32767,32767,32767,32767
1777226730720000,32767,32767,32767,32767,32767,32767,32767
1777226730724000,32767,32767,32767,32767,32767,32767,32767
1777226730728000,32767,32767,32767,32767,32767,32767,32767
1777226730732000,32767,32767,32767,32767,32767,32767,32767
1777226730736000,32767,32767,32767,32767,32767,32767,32767
1777226730740000,32767,32767,32767,32767,32767,32767,32767
1777226730744000,32767,32767,32767,32767,32767,32767,32767
1777226730748000,32767,32767,32767,32767,32767,32767,32767
1777226730752000,32767,32767,32767,32767,32767,32767,32767
1777226730756000,32767,32767,32767,32767,32767,32767,32767
1777226730760000,32767,32767,32767,32767,40,32767,32767
1777226730764000,32767,32767,32767,32767,32767,32767,32767
1777226730768000,32767,32767,32767,32767,32767,32767,32767
1777226730772000,32767,32767,32767,32767,32767,32767,32767
1777226730776000,32767,32767,32767,32767,32767,32767,32767
1777226730780000,32767,32767,32767,32767,32767,40,32767
1777226730784000,32767,32767,32767,32767,32767,32767,32767
1777226730788000,32767,32767,32767,32767,32767,32767,32767
1777226730792000,32767,32767,32767,32767,32767,32767,32767
1777226730796000,32767,32767,32767,32767,32767,40,32767
1777226730800000,32767,32767,32767,32767,32767,32767,32767
1777226730804000,32767,32767,32767,32767,32767,32767,32767
1777226730808000,32767,32767,32767,32767,32767,32767,32767
1777226730812000,32767,32767,32767,32767,40,32767,32767
1777226730816000,32767,32767,32767,32767,32767,32767,32767
1777226730820000,32767,32767,32767,32767,32767,32767,32767
1777226730824000,32767,32767,32767,32767,32767,32767,32767
1777226730828000,32767,32767,32767,32767,32767,32767,32767
1777226730832000,32767,32767,32767,32767,32767,32767,32767
1777226730836000,32767,32767,32767,32767,32767,32767,32767
1777226730840000,32767,32767,32767,32767,32767,32767,32767
1777226730844000,32767,32767,32767,32767,32767,32767,32767
1777226730848000,32767,32767,32767,32767,32767,32767,32767
1777226730852000,32767,32767,32767,32767,32767,32767,32767
1777226730856000,32767,32767,32767,32767,32767,32767,32767
1777226730860000,32767,32767,32767,32767,32767,32767,32767
1777226730864000,32767,32767,32767,32767,40,32767,32767
1777226730868000,32767,32767,32767,32767,32767,32767,32767
1777226730872000,32767,32767,32767,32767,32767,32767,32767
1777226730876000,32767,32767,32767,32767,32767,32767,32767
1777226730880000,32767,32767,32767,32767,32767,32767,32767
1777226730884000,32767,32767,32767,32767,32767,32767,32767
1777226730888000,32767,32767,32767,32767,32767,32767,32767
1777226730896000,32767,32767,32767,32767,32767,32767,32767
1777226730900000,32767,32767,32767,32767,32767,32767,32767
1777226730904000,32767,32767,32767,32767,32767,32767,32767
1777226730908000,32767,32767,32767,32767,32767,32767,32767
1777226730912000,32767,32767,32767,32767,32767,32767,32767
1777226730916000,32767,32767,32767,32767,40,40,32767
1777226730920000,32767,32767,32767,32767,32767,32767,32767
1777226730924000,32767,32767,32767,32767,32767,32767,32767
1777226730928000,32767,32767,32767,32767,32767,32767,32767
1777226730932000,32767,32767,32767,32767,32767,40,32767
1777226730936000,32767,32767,32767,32767,32767,32767,32767
1777226730940000,32767,32767,32767,32767,32767,32767,32767
1777226730944000,32767,32767,32767,32767,32767,32767,32767
1777226730948000,32767,32767,32767,32767,32767,32767,32767
1777226730952000,32767,32767,32767,32767,32767,32767,32767
1777226730956000,32767,32767,32767,32767,32767,32767,32767
1777226730960000,32767,32767,32767,32767,32767,32767,32767
1777226730964000,32767,32767,32767,32767,32767,32767,32767
1777226730968000,32767,32767,32767,32767,40,32767,32767
1777226730972000,32767,32767,32767,32767,32767,32767,32767
1777226730976000,32767,32767,32767,32767,32767,32767,32767
1777226730980000,32767,32767,32767,32767,32767,32767,32767
1777226730984000,32767,32767,32767,32767,32767,32767,32767
1777226730988000,32767,32767,32767,32767,32767,32767,32767
1777226730992000,32767,32767,32767,32767,32767,32767,32767
1777226730996000,32767,32767,32767,32767,32767,32767,32767
1777226731000000,32767,32767,32767,32767,32767,32767,32767
1777226731004000,32767,32767,32767,32767,32767,32767,32767
1777226731008000,32767,32767,32767,32767,32767,32767,32767
1777226731012000,32767,32767,32767,32767,32767,32767,32767
1777226731016000,32767,32767,32767,32767,32767,32767,32767
1777226731020000,32767,32767,32767,32767,40,32767,32767
1777226731024000,32767,32767,32767,32767,32767,32767,32767
1777226731028000,32767,32767,32767,32767,32767,32767,32767
1777226731032000,32767,32767,32767,32767,32767,32767,32767
1777226731036000,32767,32767,32767,32767,32767,32767,32767
1777226731040000,32767,32767,32767,32767,32767,32767,32767
1777226731044000,32767,32767,32767,32767,32767,32767,32767
1777226731048000,32767,32767,32767,32767,32767,32767,32767
1777226731052000,32767,32767,32767,32767,32767,32767,32767
1777226731056000,32767,32767,32767,32767,32767,0,32767
1777226731060000,32767,32767,32767,32767,32767,32767,32767
1777226731064000,32767,32767,32767,32767,32767,32767,32767
1777226731068000,32767,32767,32767,32767,32767,40,32767
1777226731072000,32767,32767,32767,32767,40,32767,32767
1777226731076000,32767,32767,32767,32767,32767,32767,32767
1777226731080000,32767,32767,32767,32767,32767,32767,32767
1777226731084000,32767,32767,32767,32767,32767,32767,32767
1777226731088000,32767,32767,32767,32767,32767,32767,32767
1777226731092000,32767,32767,32767,32767,32767,32767,32767
1777226731096000,32767,32767,32767,32767,32767,32767,32767
1777226731100000,32767,32767,32767,32767,32767,32767,32767
1777226731104000,32767,32767,32767,32767,32767,32767,32767
1777226731108000,32767,32767,32767,32767,32767,32767,32767
1777226731112000,32767,32767,32767,32767,32767,32767,32767
1777226731116000,32767,32767,32767,32767,32767,32767,32767
1777226731120000,32767,32767,32767,32767,32767,32767,32767
1777226731124000,32767,32767,32767,32767,40,32767,32767
1777226731128000,32767,32767,32767,32767,32767,32767,32767
1777226731132000,32767,32767,32767,32767,32767,32767,32767
1777226731136000,32767,32767,32767,32767,32767,32767,32767
1777226731140000,32767,32767,32767,32767,32767,32767,32767
1777226731144000,32767,32767,32767,32767,32767,32767,32767
1777226731148000,32767,32767,32767,32767,32767,32767,32767
1777226731152000,32767,32767,32767,32767,32767,32767,32767
1777226731156000,32767,32767,32767,32767,32767,32767,32767
1777226731160000,32767,32767,32767,32767,32767,32767,32767
1777226731164000,32767,32767,32767,32767,32767,32767,32767
1777226731168000,32767,32767,32767,32767,32767,32767,32767
1777226731172000,32767,32767,32767,32767,32767,32767,32767
1777226731176000,32767,32767,32767,32767,40,32767,32767
1777226731180000,32767,32767,32767,32767,32767,32767,32767
1777226731184000,32767,32767,32767,32767,32767,32767,32767
1777226731188000,32767,32767,32767,32767,32767,40,32767
1777226731192000,32767,32767,32767,32767,32767,32767,32767
1777226731196000,32767,32767,32767,32767,32767,32767,32767
1777226731200000,32767,32767,32767,32767,32767,32767,32767
1777226731204000,32767,32767,32767,32767,32767,40,32767
1777226731208000,32767,32767,32767,32767,32767,32767,32767
1777226731212000,32767,32767,32767,32767,32767,32767,32767
1777226731216000,32767,32767,32767,32767,32767,32767,32767
1777226731220000,32767,32767,32767,32767,32767,32767,32767
1777226731224000,32767,32767,32767,32767,32767,32767,32767
1777226731228000,32767,32767,32767,32767,40,32767,32767
1777226731232000,32767,32767,32767,32767,32767,32767,32767
1777226731236000,32767,32767,32767,32767,32767,32767,32767
1777226731240000,32767,32767,32767,32767,32767,32767,32767
1777226731244000,32767,32767,32767,32767,32767,32767,32767
1777226731248000,32767,32767,32767,32767,32767,32767,32767
1777226731252000,32767,32767,32767,32767,32767,32767,32767
1777226731256000,32767,32767,32767,32767,32767,32767,32767
1777226731260000,32767,32767,32767,32767,32767,32767,32767
1777226731264000,32767,32767,32767,32767,32767,32767,32767
1777226731268000,32767,32767,32767,32767,32767,32767,32767
1777226731272000,32767,32767,32767,32767,32767,32767,32767
1777226731276000,32767,32767,32767,32767,32767,32767,32767
1777226731280000,32767,32767,32767,32767,40,32767,32767
1777226731284000,32767,32767,32767,32767,32767,32767,32767
1777226731288000,32767,32767,32767,32767,32767,32767,32767
1777226731292000,32767,32767,32767,32767,32767,32767,32767
1777226731296000,32767,32767,32767,32767,32767,32767,32767
1777226731300000,32767,32767,32767,32767,32767,32767,32767
1777226731304000,32767,32767,32767,32767,32767,32767,32767
1777226731308000,32767,32767,32767,32767,32767,32767,32767
1777226731312000,32767,32767,32767,32767,32767,32767,32767
1777226731316000,32767,32767,32767,32767,32767,32767,32767
1777226731320000,32767,32767,32767,32767,32767,32767,32767
1777226731324000,32767,32767,32767,32767,32767,40,32767
1777226731328000,32767,32767,32767,32767,32767,32767,32767
1777226731332000,32767,32767,32767,32767,40,32767,32767
1777226731336000,32767,32767,32767,32767,32767,32767,32767
1777226731340000,32767,32767,32767,32767,32767,40,32767
1777226731344000,32767,32767,32767,32767,32767,32767,32767
1777226731348000,32767,32767,32767,32767,32767,32767,32767
1777226731352000,32767,32767,32767,32767,32767,32767,32767
1777226731356000,32767,32767,32767,32767,32767,32767,32767
1777226731360000,32767,32767,32767,32767,32767,32767,32767
1777226731364000,32767,32767,32767,32767,32767,32767,32767
1777226731368000,32767,32767,32767,32767,32767,32767,32767
1777226731372000,32767,32767,32767,32767,32767,32767,32767
1777226731376000,32767,32767,32767,32767,32767,32767,32767
1777226731380000,32767,32767,32767,32767,32767,32767,32767
1777226731384000,32767,32767,32767,32767,40,32767,32767
