timestamp,timestamp_sample,time_last_fuse,device_id,observation[0],observation[1],observation[2],observation_variance[0],observation_variance[1],observation_variance[2],innovation[0],innovation[1],innovation[2],innovation_filtered[0],innovation_filtered[1],innovation_filtered[2],innovation_variance[0],innovation_variance[1],innovation_variance[2],test_ratio[0],test_ratio[1],test_ratio[2],test_ratio_filtered[0],test_ratio_filtered[1],test_ratio_filtered[2],estimator_instance,innovation_rejected,fused
1777226730132000,1777226729974000,0,0,0.21392357,0.007725435,0.4294038,0.0025000002,0.0025000002,0.0025000002,-0.21392357,-0.007725435,-0.4294038,-0.2144375,-0.011016621,-0.43006802,0.0075000008,0.0075000008,0.0075000008,0.67797464,0.00088418275,2.7316682,-0.30606362,-0.0004376835,-1.2167165,0,1,0
1777226730204000,1777226730042000,0,0,0.21449938,0.010726086,0.43064594,0.0025000002,0.0025000002,0.0025000002,-0.21449938,-0.010726086,-0.43064594,-0.2144449,-0.010981839,-0.43013722,0.007500001,0.0075000008,0.007500001,0.68162936,0.0017044282,2.747495,-0.3510257,-0.00058933604,-1.3999788,0,1,0
1777226730276000,1777226730110000,0,0,0.21269327,0.009888652,0.43398637,0.0025000002,0.0025000002,0.0025000002,-0.21269327,-0.009888652,-0.43398637,-0.2142352,-0.010850965,-0.43059802,0.0075000008,0.0075000008,0.0075000008,0.67019886,0.001448673,2.7902834,-0.38923657,-0.0006922144,-1.5664237,0,1,0
1777226730348000,1777226730178000,0,0,0.21491788,0.009346762,0.42880726,0.0025000002,0.0025000002,0.0025000002,-0.21491788,-0.009346762,-0.42880726,-0.21431693,-0.0106708845,-0.43038362,0.0075000008,0.0075000003,0.0075000003,0.68429166,0.0012942512,2.724084,-0.42456007,-0.00076428923,-1.7050167,0,1,0
1777226730408000,1777226730246000,0,0,0.21154724,0.010175107,0.4249197,0.0025000002,0.0025000002,0.0025000002,-0.21154724,-0.010175107,-0.4249197,-0.21398535,-0.010611531,-0.4297295,0.0075000003,0.0075000003,0.0075000008,0.66299605,0.0015338192,2.6749144,-0.4531052,-0.00085641607,-1.8211312,0,1,0
1777226730472000,1777226730314000,0,0,0.21484591,0.009380673,0.43015018,0.0025000002,0.0025000002,0.0025000002,-0.21484591,-0.009380673,-0.43015018,-0.21408838,-0.010464175,-0.42977986,0.0075000008,0.0075000003,0.0075,0.6838334,0.0013036595,2.7411733,-0.4807276,-0.0009099593,-1.931277,0,1,0
1777226730544000,1777226730382000,0,0,0.21664342,0.009722611,0.4323578,0.0025000002,0.0025000002,0.0025000002,-0.21664342,-0.009722611,-0.4323578,-0.21439427,-0.010375396,-0.4300885,0.0075000003,0.0075000008,0.0075000008,0.695324,0.0014004319,2.7693813,-0.5064187,-0.00096867786,-2.0316133,0,1,0
1777226730608000,1777226730449981,0,0,0.21634209,0.008569454,0.42980388,0.0025000002,0.0025000002,0.0025000002,-0.21634209,-0.008569454,-0.42980388,-0.2146274,-0.010159245,-0.43005443,0.0075000003,0.0075000008,0.0075000008,0.6933911,0.0010879338,2.7367609,-0.5287972,-0.0009829515,-2.1160116,0,1,0
1777226730684000,1777226730517981,0,0,0.21663661,0.011467293,0.4285199,0.0025000002,0.0025000002,0.0025000002,-0.21663661,-0.011467293,-0.4285199,-0.21486793,-0.010315842,-0.42987072,0.0075000003,0.0075000008,0.0075,0.6952803,0.0019481301,2.7204344,-0.5487283,-0.001098501,-2.1883721,0,1,0
1777226730744000,1777226730585984,0,0,0.2153151,0.009347119,0.42973766,0.0025000002,0.0025000002,0.0025000002,-0.2153151,-0.009347119,-0.42973766,-0.21492147,-0.010199863,-0.42985478,0.0075000003,0.007500001,0.0075000008,0.6868236,0.0012943501,2.7359176,-0.5652615,-0.0011219487,-2.2539258,0,1,0
1777226730816000,1777226730653984,0,0,0.21296929,0.008847426,0.43026274,0.0025000002,0.0025000002,0.0025000002,-0.21296929,-0.008847426,-0.43026274,-0.21468776,-0.010037952,-0.42990363,0.0075000008,0.0075,0.0075000003,0.6719394,0.0011596585,2.7426078,-0.5780328,-0.0011264633,-2.31243,0,1,0
1777226730880000,1777226730721986,0,0,0.21561271,0.010077106,0.4291145,0.0025000002,0.0025000002,0.0025000002,-0.21561271,-0.010077106,-0.4291145,-0.2147985,-0.010042639,-0.42980915,0.0075000008,0.0075,0.0075000003,0.68872344,0.0015044158,2.7279887,-0.5912848,-0.0011717123,-2.3621812,0,1,0
1777226730952000,1777226730789987,0,0,0.21623516,0.007340629,0.43449008,0.0025000002,0.0025000002,0.0025000002,-0.21623516,-0.007340629,-0.43449008,-0.2149705,-0.009719155,-0.43036956,0.0075000003,0.0075000003,0.0075000008,0.6927058,0.00079829386,2.7967646,-0.60342693,-0.0011270067,-2.4142094,0,1,0
1777226731016000,1777226730857989,0,0,0.21726005,0.010685025,0.4300112,0.0025000002,0.0025000002,0.0025000002,-0.21726005,-0.010685025,-0.4300112,-0.2152446,-0.00983479,-0.43032664,0.0075,0.0075,0.0075000003,0.6992879,0.0016914039,2.739402,-0.61490357,-0.0011945772,-2.453142,0,1,0
1777226731088000,1777226730925989,0,0,0.21209306,0.012241002,0.42227274,0.0025000002,0.0025000002,0.0025000002,-0.21209306,-0.012241002,-0.42227274,-0.21486731,-0.010122857,-0.42936245,0.007500001,0.0075000003,0.0075000008,0.6664216,0.0022198833,2.6416924,-0.6210712,-0.001317325,-2.475715,0,1,0
1777226731152000,1777226730993991,0,0,0.21490097,0.010419807,0.43112236,0.0025000002,0.0025000002,0.0025000002,-0.21490097,-0.010419807,-0.43112236,-0.21487133,-0.010158408,-0.42957315,0.0075000008,0.0075000008,0.0075000003,0.684184,0.0016084795,2.7535775,-0.6286272,-0.0013521825,-2.508981,0,1,0
1777226731224000,1777226731061991,0,0,0.21443887,0.0101441555,0.43089527,0.0025000002,0.0025000002,0.0025000002,-0.21443887,-0.0101441555,-0.43089527,-0.21481957,-0.010156702,-0.42973143,0.0075000008,0.0075000008,0.0075000003,0.6812448,0.0015245018,2.7506773,-0.6349265,-0.0013728122,-2.5379164,0,1,0
1777226731288000,1777226731129992,1777226731132000,0,0.21591511,0.0103303455,0.43033487,0.0025000002,0.0025000002,0.0025000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0025000002,0.0025000002,0.0025000002,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
1777226731360000,1777226731197992,1777226731204000,0,0.21425477,0.010287049,0.43253085,0.0025000002,0.0025000002,0.0025000002,0.000609234,-2.7332455e-05,-0.0027026236,7.2936455e-05,-5.2144615e-06,-0.00032355706,0.0075876783,0.011733314,0.007519499,5.4352163e-06,1.7957062e-08,0.00010793178,6.5069486e-07,-2.1497888e-09,-1.29214095e-05,0,0,1
1777226731424000,1777226731265993,1777226731268000,0,0.21277763,0.010135138,0.42932507,0.0025000002,0.0025000002,0.0025000002,0.0017421183,0.00027438812,0.0022692978,0.00027277065,2.7589307e-05,-1.2711418e-05,0.004176905,0.0044454876,0.0041688955,8.073432e-05,1.8057603e-06,0.0001376877,1.0238295e-05,2.1429295e-07,5.109492e-06,0,0,1
1777226731496000,1777226731333994,1777226731340000,0,0.21383166,0.0134332245,0.43159828,0.0025000002,0.0025000002,0.0025000002,-0.00013715576,-0.0030871062,-0.000844121,0.00022369431,-0.00034528185,-0.00011230168,0.0035039845,0.0035876743,0.003500856,5.965178e-07,0.0002951214,2.2639093e-05,8.941152e-06,-3.5143254e-05,1.7874356e-06,0,0,1
1777226731560000,1777226731401995,1777226731404000,0,0.21555151,0.010536652,0.42988884,0.0025000002,0.0025000002,0.0025000002,-0.0018111406,0.0006636465,0.0011056364,-1.9915824e-05,-0.0002243091,3.318066e-05,0.0032166382,0.0032563682,0.0032147788,0.00011330774,1.50975475e-05,4.2040774e-05,-5.6944673e-06,-2.9128432e-05,6.6065595e-06,0,0,1
1777226731632000,1777226731469995,1777226731476000,0,0.21515371,0.0073993225,0.42566496,0.0025000002,0.0025000002,0.0025000002,-0.0010534094,0.0036757253,0.005102843,-0.00014364392,0.00024265927,0.0006399772,0.0030571066,0.00308049,0.0030558924,4.0331215e-05,0.0004874699,0.00094635325,-9.84112e-06,3.2717842e-05,0.000119111435,0,0,1
1777226731696000,1777226731537995,1777226731540000,0,0.21425734,0.010168743,0.43070942,0.0025000002,0.0025000002,0.0025000002,-9.074487e-06,0.0002537705,-0.0008492768,-0.0001275335,0.0002439897,0.00046168373,0.00295571,0.0029710499,0.0029548148,3.0955642e-09,2.4084422e-06,2.7123655e-05,-8.663328e-06,2.9089253e-05,0.00010160442,0,0,1
1777226731768000,1777226731605996,1777226731612000,0,0.21321253,0.01320446,0.43131578,0.0025000002,0.0025000002,0.0025000002,0.0010976291,-0.0027798712,-0.0013572276,1.9142783e-05,-0.00011804946,0.00024404847,0.002885651,0.002896376,0.002884857,4.6390054e-05,0.00029649123,7.0839116e-05,-2.0723455e-06,-9.889194e-06,8.09595e-05,0,0,1
1777226731832000,1777226731673996,1777226731676000,0,0.21570097,0.010400124,0.43103912,0.0025000002,0.0025000002,0.0025000002,-0.0014837584,0.00034540147,-0.0009227693,-0.00016078199,-6.2537394e-05,0.000104200124,0.002834215,0.002842058,0.0028335385,8.6308006e-05,4.670588e-06,3.3486023e-05,-1.21568955e-05,-8.146122e-06,6.7258276e-05,0,0,1
1777226731904000,1777226731741996,1777226731748000,0,0.21169169,0.008668112,0.43090704,0.0025000002,0.0025000002,0.0025000002,0.0026523834,0.0020303726,-0.0006619096,0.00017600539,0.0001879836,1.2769167e-05,0.0027949873,0.002801186,0.0027943228,0.00027967282,0.0001634666,1.7295526e-05,2.2780463e-05,1.2399059e-05,5.713564e-05,0,0,1
1777226731968000,1777226731809997,1777226731812000,0,0.21531127,0.010058036,0.43020734,0.0025000002,0.0025000002,0.0025000002,-0.0012595718,0.0004162453,0.00011780858,4.138288e-06,0.00021532363,2.5218938e-05,0.0027640273,0.00276881,0.002763364,6.377654e-05,6.9563584e-06,5.4816115e-07,1.2417871e-05,1.174746e-05,5.0360995e-05,0,0,1
1777226732040000,1777226731877997,1777226731884000,0,0.2157295,0.008432988,0.4293391,0.0025000002,0.0025000002,0.0025000002,-0.0015646971,0.0021536872,0.00097465515,-0.00018368002,0.00044739206,0.00013874307,0.0027388928,0.0027429045,0.0027382886,9.932145e-05,0.0001879094,3.8453163e-05,-9.593696e-07,3.283727e-05,4.893541e-05,0,0,1
1777226732104000,1777226731945997,1777226731948000,0,0.21402662,0.011267538,0.4302008,0.0025000002,0.0025000002,0.0025000002,0.00036725696,-0.0009425329,-1.7642975e-05,-0.00011772279,0.00028099073,0.00012004912,0.0027182119,0.0027216927,0.0027175965,5.5133332e-06,3.6268197e-05,1.238775e-08,-1.844686e-07,2.456408e-05,4.3075463e-05,0,0,1
1777226732176000,1777226732013998,1777226732020000,0,0.21651384,0.011049349,0.42929506,0.0025000002,0.0025000002,0.0025000002,-0.0021110387,-0.00071342476,0.0008736849,-0.00035636226,0.00016194812,0.00021009755,0.0027008909,0.0027039144,0.0027002217,0.0001833339,2.0910904e-05,3.1303953e-05,-2.2111093e-05,1.9119821e-05,4.166618e-05,0,0,1
1777226732240000,1777226732081998,1777226732084000,0,0.21632962,0.0119344555,0.42799956,0.0025000002,0.0025000002,0.0025000002,-0.0018399702,-0.0014994862,0.0021379292,-0.0005339773,-3.69505e-05,0.00044074803,0.002685998,0.00268874,0.0026853888,0.00014004688,9.291101e-05,0.00018890382,-3.6230165e-05,5.7076813e-06,5.929322e-05,0,0,1
1777226732312000,1777226732149998,1777226732156000,0,0.21440531,0.013308641,0.43059886,0.0025000002,0.0025000002,0.0025000002,0.00026672974,-0.0028001787,-0.00063705444,-0.000438118,-0.0003677602,0.0003117191,0.0026732935,0.0026758441,0.0026726369,2.9570162e-06,0.00032558927,1.6870506e-05,-3.1538744e-05,-3.3954624e-05,5.0175026e-05,0,0,1
1777226732376000,1777226732217998,1777226732220000,0,0.21370076,0.00942003,0.4301104,0.0025000002,0.0025000002,0.0025000002,0.0009483801,0.0013295691,-0.000106841326,-0.0002721288,-0.00016456061,0.00026168476,0.002662234,0.002664565,0.0026615306,3.7538433e-05,7.371286e-05,4.709728e-07,-2.3268942e-05,-2.1064858e-05,4.4111774e-05,0,0,1
1777226732448000,1777226732285998,1777226732292000,0,0.21511608,0.007751545,0.43373397,0.0025000002,0.0025000002,0.0025000002,-0.0006091195,0.0029735994,-0.0036821365,-0.00031247275,0.00021113457,-0.00021048769,0.0026523992,0.002654541,0.002651742,1.5542597e-05,0.00037011187,0.0005681661,-2.2343957e-05,2.5766156e-05,-2.918909e-05,0,0,1
