timestamp,latitude,longitude,time_inside,acceptance_radius,loiter_radius,yaw,altitude,sequence_current,nav_cmd,frame,origin,loiter_exit_xtrack,force_heading,altitude_is_relative,autocontinue,vtol_back_transition
1777226746356000,47.397743,8.545594,0.0,0.0,0.0,nan,503.00943,0,22,0,0,0,0,0,1,0
1777226761680000,47.397743,8.545594,0.0,0.0,0.0,nan,15.0,0,16,0,0,0,0,1,1,0
1777226761736000,47.39846,8.545594,0.0,0.0,0.0,0.0,15.0,1,16,0,0,0,0,1,1,0
1777226781448000,47.399178,8.545594,0.0,0.0,0.0,0.0,15.0,2,16,0,0,0,0,1,1,0
1777226798488000,47.3999,8.545594,0.0,0.0,0.0,0.0,15.0,3,16,0,0,0,0,1,1,0
1777226815528000,47.3999,8.545594,0.0,2.0,80.0,0.0,498.009,3,17,1,0,0,0,0,0,0
1777226830456000,47.3999,8.545594,0.0,2.0,80.0,-0.00018684086,513.00903,0,31,1,0,0,0,0,1,0
1777226838528000,47.397743,8.545594,0.0,2.0,80.0,nan,513.00903,1,16,1,0,0,0,0,1,0
1777226888640000,47.397743,8.545594,0.0,2.0,80.0,0.0,483.009,7,21,1,0,0,0,0,1,0
1777226910256000,47.397743,8.545594,0.0,2.0,80.0,nan,483.009,8,0,1,0,0,0,0,1,0
