timestamp,unallocated_torque[0],unallocated_torque[1],unallocated_torque[2],unallocated_thrust[0],unallocated_thrust[1],unallocated_thrust[2],handled_motor_failure_mask,motor_stop_mask,torque_setpoint_achieved,thrust_setpoint_achieved,actuator_saturation[0],actuator_saturation[1],actuator_saturation[2],actuator_saturation[3],actuator_saturation[4],actuator_saturation[5],actuator_saturation[6],actuator_saturation[7],actuator_saturation[8],actuator_saturation[9],actuator_saturation[10],actuator_saturation[11],actuator_saturation[12],actuator_saturation[13],actuator_saturation[14],actuator_saturation[15]
1777227097937000,0.0066976207,-0.00016578904,0.00010725715,0.0,0.0,-1.1641532e-10,0,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777227097945000,0.009349321,0.0021141889,3.6390666e-05,0.0,0.0,0.0,0,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
1777227098137000,0.0008292175,0.0045853513,-0.00027990268,0.0,0.0,0.0,0,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
1777227098337000,-0.0024726156,0.00078328606,0.00037264085,0.0,0.0,-1.1641532e-10,0,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
1777227098529000,-0.0036556115,0.001088545,0.00044050728,0.0,0.0,-1.1641532e-10,0,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
1777227098737000,-7.256388e-05,-0.00032097287,-0.00019102127,0.0,0.0,-1.1641532e-10,0,0,1,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777227098937000,0.0023690788,0.00072266185,0.000681845,0.0,0.0,-1.1641532e-10,0,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
1777227099137000,2.3283064e-10,1.8189894e-11,-4.0017767e-11,0.0,0.0,-1.1641532e-10,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777227099337000,-0.0004240778,0.0011392776,0.00033549868,0.0,0.0,-1.1641532e-10,0,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
1777227099537000,-2.3283064e-10,1.4551915e-11,8.185452e-11,0.0,0.0,-1.1641532e-10,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777227099737000,0.0003668116,0.0002545874,-0.00023616628,0.0,0.0,-1.1641532e-10,0,0,1,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
1777227099937000,-0.0003046168,-1.1641532e-10,-3.236879e-05,0.0,0.0,-1.1641532e-10,0,0,1,1,0,-2,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777227100137000,-0.0023760984,0.0026652296,0.00015345858,0.0,0.0,-2.3283064e-10,0,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
1777227100337000,7.366885e-05,0.00041546486,-0.0003337778,0.0,0.0,-1.1641532e-10,0,0,1,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
1777227100537000,-2.3283064e-10,-5.0931703e-11,4.3655746e-11,0.0,0.0,-1.1641532e-10,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
