timestamp,timestamp_sample,information_event_changes,gps_checks_passed,reset_vel_to_gps,reset_vel_to_flow,reset_vel_to_vision,reset_vel_to_zero,reset_pos_to_last_known,reset_pos_to_gps,reset_pos_to_vision,starting_gps_fusion,starting_vision_pos_fusion,starting_vision_vel_fusion,starting_vision_yaw_fusion,yaw_aligned_to_imu_gps,reset_hgt_to_baro,reset_hgt_to_gps,reset_hgt_to_rng,reset_hgt_to_ev
1777227220045000,1777227106893000,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1777227221045000,1777227106893000,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1777227222045000,1777227106893000,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1777227223045000,1777227106893000,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1777227224045000,1777227106893000,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1777227225045000,1777227106893000,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1777227226045000,1777227106893000,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1777227227045000,1777227106893000,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1777227228045000,1777227106893000,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1777227229045000,1777227106893000,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1777227230045000,1777227106893000,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1777227231045000,1777227106893000,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1777227232045000,1777227106893000,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1777227233045000,1777227106893000,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1777227234045000,1777227106893000,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1777227235045000,1777227106893000,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
