timestamp,armed,prearmed,ready_to_arm,lockdown,manual_lockdown,force_failsafe,in_esc_calibration_mode
1777316741446000,0,0,1,0,0,0,0
1777316741866000,0,0,1,0,0,0,0
1777316742370000,0,0,1,0,0,0,0
1777316742874000,0,0,1,0,0,0,0
1777316743378000,0,0,1,0,0,0,0
1777316743882000,0,0,1,0,0,0,0
1777316744386000,0,0,1,0,0,0,0
1777316744890000,0,0,1,0,0,0,0
1777316745394000,0,0,1,0,0,0,0
1777316745898000,0,0,1,0,0,0,0
1777316746402000,0,0,1,0,0,0,0
1777316746906000,0,0,1,0,0,0,0
1777316747410000,0,0,1,0,0,0,0
1777316747914000,0,0,1,0,0,0,0
1777316748418000,0,0,1,0,0,0,0
1777316748922000,0,0,1,0,0,0,0
1777316749426000,0,0,1,0,0,0,0
1777316749930000,0,0,1,0,0,0,0
1777316750434000,0,0,1,0,0,0,0
1777316750938000,0,0,1,0,0,0,0
1777316751442000,0,0,1,0,0,0,0
1777316751946000,0,0,1,0,0,0,0
1777316752450000,0,0,1,0,0,0,0
1777316752954000,0,0,1,0,0,0,0
1777316753458000,0,0,1,0,0,0,0
1777316753962000,0,0,1,0,0,0,0
1777316754466000,0,0,1,0,0,0,0
1777316754970000,0,0,1,0,0,0,0
1777316755474000,0,0,1,0,0,0,0
1777316755978000,0,0,1,0,0,0,0
1777316756482000,0,0,1,0,0,0,0
1777316756878000,0,0,1,0,0,0,0
1777316757382000,0,0,1,0,0,0,0
1777316757886000,0,0,1,0,0,0,0
1777316758390000,0,0,1,0,0,0,0
1777316758894000,0,0,1,0,0,0,0
1777316759398000,0,0,1,0,0,0,0
1777316759902000,0,0,1,0,0,0,0
1777316760406000,0,0,1,0,0,0,0
1777316760910000,0,0,1,0,0,0,0
1777316761414000,0,0,1,0,0,0,0
1777316761918000,0,0,1,0,0,0,0
1777316762422000,0,0,1,0,0,0,0
1777316762926000,0,0,1,0,0,0,0
1777316763430000,0,0,1,0,0,0,0
1777316763934000,0,0,1,0,0,0,0
1777316764438000,0,0,1,0,0,0,0
1777316764942000,0,0,1,0,0,0,0
1777316765446000,0,0,1,0,0,0,0
1777316765950000,0,0,1,0,0,0,0
1777316766454000,0,0,1,0,0,0,0
1777316766958000,0,0,1,0,0,0,0
1777316767462000,0,0,1,0,0,0,0
1777316767966000,0,0,1,0,0,0,0
1777316768470000,0,0,1,0,0,0,0
1777316768974000,0,0,1,0,0,0,0
1777316769478000,0,0,1,0,0,0,0
1777316769982000,0,0,1,0,0,0,0
1777316770486000,0,0,1,0,0,0,0
1777316770846000,0,0,1,0,0,0,0
1777316770858000,1,0,1,0,0,0,0
1777316771362000,1,0,1,0,0,0,0
1777316771866000,1,0,1,0,0,0,0
1777316772370000,1,0,1,0,0,0,0
1777316772874000,1,0,1,0,0,0,0
1777316773378000,1,0,1,0,0,0,0
1777316773882000,1,0,1,0,0,0,0
1777316774386000,1,0,1,0,0,0,0
1777316774890000,1,0,1,0,0,0,0
1777316775394000,1,0,1,0,0,0,0
1777316775898000,1,0,1,0,0,0,0
1777316776402000,1,0,1,0,0,0,0
1777316776906000,1,0,1,0,0,0,0
1777316777410000,1,0,1,0,0,0,0
1777316777914000,1,0,1,0,0,0,0
1777316778418000,1,0,1,0,0,0,0
1777316778922000,1,0,1,0,0,0,0
1777316779426000,1,0,1,0,0,0,0
1777316779930000,1,0,1,0,0,0,0
1777316780434000,1,0,1,0,0,0,0
1777316780938000,1,0,1,0,0,0,0
1777316781442000,1,0,1,0,0,0,0
1777316781946000,1,0,1,0,0,0,0
1777316782162000,1,0,1,0,0,0,0
1777316782666000,1,0,1,0,0,0,0
1777316783170000,1,0,1,0,0,0,0
1777316783602000,1,0,1,0,0,0,0
1777316784106000,1,0,1,0,0,0,0
1777316784610000,1,0,1,0,0,0,0
1777316785114000,1,0,1,0,0,0,0
1777316785618000,1,0,1,0,0,0,0
1777316786050000,1,0,1,0,0,0,0
1777316786062000,1,0,1,0,0,0,0
1777316786566000,1,0,1,0,0,0,0
1777316787070000,1,0,1,0,0,0,0
1777316787574000,1,0,1,0,0,0,0
1777316788078000,1,0,1,0,0,0,0
1777316788582000,1,0,1,0,0,0,0
1777316789086000,1,0,1,0,0,0,0
1777316789590000,1,0,1,0,0,0,0
1777316790094000,1,0,1,0,0,0,0
1777316790598000,1,0,1,0,0,0,0
1777316791102000,1,0,1,0,0,0,0
1777316791138000,1,0,1,0,0,0,0
1777316791642000,1,0,1,0,0,0,0
1777316792146000,1,0,1,0,0,0,0
1777316792650000,1,0,1,0,0,0,0
1777316793154000,1,0,1,0,0,0,0
1777316793658000,1,0,1,0,0,0,0
1777316794162000,1,0,1,0,0,0,0
1777316794594000,1,0,1,0,0,0,0
1777316795098000,1,0,1,0,0,0,0
1777316795602000,1,0,1,0,0,0,0
1777316796106000,1,0,1,0,0,0,0
1777316796610000,1,0,1,0,0,0,0
1777316797114000,1,0,1,0,0,0,0
1777316797618000,1,0,1,0,0,0,0
1777316798122000,1,0,1,0,0,0,0
1777316798626000,1,0,1,0,0,0,0
1777316799130000,1,0,1,0,0,0,0
1777316799634000,1,0,1,0,0,0,0
1777316800138000,1,0,1,0,0,0,0
1777316800318000,1,0,1,0,0,0,0
1777316800822000,1,0,1,0,0,0,0
1777316801326000,1,0,1,0,0,0,0
1777316801830000,1,0,1,0,0,0,0
1777316802334000,1,0,1,0,0,0,0
1777316802838000,1,0,1,0,0,0,0
1777316803018000,1,0,1,0,0,0,0
1777316803522000,1,0,1,0,0,0,0
1777316804026000,1,0,1,0,0,0,0
1777316804206000,1,0,1,0,0,0,0
1777316804710000,1,0,1,0,0,0,0
1777316805214000,1,0,1,0,0,0,0
1777316805718000,1,0,1,0,0,0,0
1777316806222000,1,0,1,0,0,0,0
1777316806726000,1,0,1,0,0,0,0
1777316807122000,1,0,1,0,0,0,0
1777316807626000,1,0,1,0,0,0,0
1777316808130000,1,0,1,0,0,0,0
1777316808310000,1,0,1,0,0,0,0
1777316808814000,1,0,1,0,0,0,0
1777316809318000,1,0,1,0,0,0,0
1777316809822000,1,0,1,0,0,0,0
1777316810326000,1,0,1,0,0,0,0
1777316810830000,1,0,1,0,0,0,0
1777316811334000,1,0,1,0,0,0,0
1777316811442000,1,0,1,0,0,0,0
