timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
1777316742498000,1777316742498000,0.99994844,0.0013613928,0.0040361295,0.0092216,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742538000,1777316742538000,0.9999516,0.0013464957,0.0035623696,0.009081756,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316743038000,1777316743038000,0.9999796,0.0015103063,0.0025814504,0.0056469617,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316743538000,1777316743538000,0.9999746,0.0017940763,0.0016971581,0.006694278,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316744038000,1777316744038000,0.99997646,0.0014023097,0.0014227605,0.0065720496,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316744538000,1777316744538000,0.9999695,0.0009141665,0.0013370631,0.0076503,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316745038000,1777316745038000,0.9999567,0.00070772605,0.0018393861,0.009093016,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316745538000,1777316745538000,0.99996877,0.0009527863,0.0014159685,0.007724347,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316746038000,1777316746038000,0.9999563,0.0011190387,0.0020406353,0.009060995,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316746538000,1777316746538000,0.9999643,0.0013247485,0.0023048061,0.008024761,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316747038000,1777316747038000,0.99995303,0.0012080995,0.0019253966,0.009424248,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316747538000,1777316747538000,0.9999475,0.0014203722,0.0014053542,0.010058998,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316748038000,1777316748038000,0.9999506,0.0015304082,0.001349333,0.009730814,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316748538000,1777316748538000,0.99996066,0.0015165806,0.0014757882,0.008608007,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316749038000,1777316749038000,0.9999751,0.001235737,0.0016503131,0.0067482204,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316749538000,1777316749538000,0.9999807,0.0009748709,0.0018260328,0.00587369,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316750038000,1777316750038000,0.9999749,0.0014059948,0.0021881135,0.006606562,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316750538000,1777316750538000,0.9999898,0.0014666999,0.0025565708,0.0034278398,0.9999985,3.929018e-10,-3.046808e-10,-0.0017513502,2
1777316751038000,1777316751038000,0.99997735,0.0014083495,0.0024283698,0.006126945,0.9999985,3.929018e-10,-3.046808e-10,-0.0017513502,2
1777316751538000,1777316751538000,0.9999779,0.0014243778,0.0029925932,0.005777958,0.9999985,3.929018e-10,-3.046808e-10,-0.0017513502,2
1777316752038000,1777316752038000,0.9999792,0.001440704,0.0032128808,0.0054116114,0.9999985,3.929018e-10,-3.046808e-10,-0.0017513502,2
1777316752538000,1777316752538000,0.9999701,0.0017158536,0.003324275,0.006773521,0.9999985,3.929018e-10,-3.046808e-10,-0.0017513502,2
1777316753038000,1777316753038000,0.9999621,0.0016947343,0.003389508,0.007838001,0.9999985,3.929018e-10,-3.046808e-10,-0.0017513502,2
1777316753538000,1777316753538000,0.99996316,0.002030696,0.0035028367,0.0075736614,0.9999985,3.929018e-10,-3.046808e-10,-0.0017513502,2
1777316754038000,1777316754038000,0.9999595,0.0019227489,0.0035167201,0.0080582835,0.9999985,3.929018e-10,-3.046808e-10,-0.0017513502,2
1777316754538000,1777316754538000,0.9999632,0.002117077,0.0035557076,0.007513969,0.9999985,3.929018e-10,-3.046808e-10,-0.0017513502,2
1777316755038000,1777316755038000,0.99996716,0.0018367688,0.0033307076,0.007162342,0.9999985,3.929018e-10,-3.046808e-10,-0.0017513502,2
1777316755538000,1777316755538000,0.9999661,0.0013648001,0.0032504755,0.007444242,0.9999985,3.929018e-10,-3.046808e-10,-0.0017513502,2
1777316756038000,1777316756038000,0.99997,0.0013002326,0.002845464,0.007097289,0.9999985,3.929018e-10,-3.046808e-10,-0.0017513502,2
1777316756538000,1777316756538000,0.9999699,0.0012614117,0.0030499322,0.007027809,0.9999985,3.929018e-10,-3.046808e-10,-0.0017513502,2
1777316757038000,1777316757038000,0.9999717,0.0009468844,0.0031088875,0.006799147,0.9999985,3.929018e-10,-3.046808e-10,-0.0017513502,2
1777316757538000,1777316757538000,0.99997413,0.00097310805,0.0028379792,0.006548911,0.9999985,3.929018e-10,-3.046808e-10,-0.0017513502,2
1777316758038000,1777316758038000,0.99996805,0.0011099258,0.0025692515,0.007486822,0.9999985,3.929018e-10,-3.046808e-10,-0.0017513502,2
1777316758538000,1777316758538000,0.9999579,0.0010680346,0.0023367787,0.008813206,0.9999985,3.929018e-10,-3.046808e-10,-0.0017513502,2
1777316759038000,1777316759038000,0.9999657,0.00097151025,0.0021505153,0.007935885,0.9999985,3.929018e-10,-3.046808e-10,-0.0017513502,2
1777316759538000,1777316759538000,0.9999736,0.001247222,0.0019721244,0.006891174,0.9999985,3.929018e-10,-3.046808e-10,-0.0017513502,2
1777316760038000,1777316760038000,0.9999724,0.0018989906,0.0023008995,0.0068039424,0.9999985,3.929018e-10,-3.046808e-10,-0.0017513502,2
1777316760538000,1777316760538000,0.9999767,0.0017599266,0.0020256813,0.0062858835,0.9999985,3.929018e-10,-3.046808e-10,-0.0017513502,2
1777316761038000,1777316761038000,0.9999731,0.0017629606,0.0018982841,0.006860008,0.9999985,3.929018e-10,-3.046808e-10,-0.0017513502,2
1777316761538000,1777316761538000,0.9999693,0.0013787545,0.0019436476,0.007479154,0.9999985,3.929018e-10,-3.046808e-10,-0.0017513502,2
1777316762038000,1777316762038000,0.9999718,0.0015224277,0.002058613,0.0070607476,0.9999985,3.929018e-10,-3.046808e-10,-0.0017513502,2
1777316762538000,1777316762538000,0.99997234,0.0011581156,0.002249402,0.006991836,0.9999985,3.929018e-10,-3.046808e-10,-0.0017513502,2
1777316763038000,1777316763038000,0.9999752,0.001407712,0.002525565,0.006437699,0.9999985,3.929018e-10,-3.046808e-10,-0.0017513502,2
1777316763538000,1777316763538000,0.9999691,0.0014444026,0.0026803114,0.007239565,0.9999985,3.929018e-10,-3.046808e-10,-0.0017513502,2
1777316764038000,1777316764038000,0.9999701,0.0014118097,0.0025678438,0.007171929,0.9999985,3.929018e-10,-3.046808e-10,-0.0017513502,2
1777316764538000,1777316764538000,0.99997437,0.0013285985,0.00245281,0.0065882853,0.9999985,3.929018e-10,-3.046808e-10,-0.0017513502,2
1777316765038000,1777316765038000,0.99997294,0.0015055635,0.0022285276,0.0068537206,0.9999985,3.929018e-10,-3.046808e-10,-0.0017513502,2
1777316765538000,1777316765538000,0.999973,0.0012835539,0.0019788428,0.006967588,0.9999985,3.929018e-10,-3.046808e-10,-0.0017513502,2
1777316766038000,1777316766038000,0.9999676,0.001298191,0.0017173707,0.0077712536,0.9999985,3.929018e-10,-3.046808e-10,-0.0017513502,2
1777316766538000,1777316766538000,0.999968,0.0011721957,0.001910522,0.0076823416,0.9999985,3.929018e-10,-3.046808e-10,-0.0017513502,2
1777316767038000,1777316767038000,0.9999674,0.0009882792,0.0021194313,0.0077394997,0.9999985,3.929018e-10,-3.046808e-10,-0.0017513502,2
1777316767538000,1777316767538000,0.99996793,0.0012413242,0.0018650723,0.0076974058,0.9999985,3.929018e-10,-3.046808e-10,-0.0017513502,2
1777316768038000,1777316768038000,0.99996275,0.0016545958,0.0020526317,0.008229581,0.9999985,3.929018e-10,-3.046808e-10,-0.0017513502,2
1777316768538000,1777316768538000,0.99995965,0.0018340326,0.002007767,0.0085700825,0.9999985,3.929018e-10,-3.046808e-10,-0.0017513502,2
1777316769038000,1777316769038000,0.99995595,0.0016763678,0.0025697178,0.008875268,0.9999985,3.929018e-10,-3.046808e-10,-0.0017513502,2
