timestamp,geofence_violation_reason,primary_geofence_breached,primary_geofence_action,home_required
1777316756134000,0,0,2,0
1777316756382000,0,0,2,0
1777316756638000,0,0,2,0
1777316756878000,0,0,2,0
1777316757134000,0,0,2,0
1777316757382000,0,0,2,0
1777316757630000,0,0,2,0
1777316757878000,0,0,2,0
1777316758090000,0,0,2,0
1777316758350000,0,0,2,0
1777316758594000,0,0,2,0
1777316758838000,0,0,2,0
1777316759046000,0,0,2,0
1777316759294000,0,0,2,0
1777316759550000,0,0,2,0
1777316759798000,0,0,2,0
1777316760006000,0,0,2,0
1777316760254000,0,0,2,0
1777316760506000,0,0,2,0
1777316760758000,0,0,2,0
1777316760966000,0,0,2,0
1777316761214000,0,0,2,0
1777316761466000,0,0,2,0
1777316761710000,0,0,2,0
1777316761918000,0,0,2,0
1777316762174000,0,0,2,0
1777316762422000,0,0,2,0
1777316762670000,0,0,2,0
1777316762918000,0,0,2,0
1777316763126000,0,0,2,0
1777316763382000,0,0,2,0
1777316763634000,0,0,2,0
1777316763882000,0,0,2,0
1777316764086000,0,0,2,0
1777316764334000,0,0,2,0
1777316764590000,0,0,2,0
1777316764838000,0,0,2,0
1777316765046000,0,0,2,0
1777316765298000,0,0,2,0
1777316765546000,0,0,2,0
1777316765798000,0,0,2,0
1777316766006000,0,0,2,0
1777316766258000,0,0,2,0
1777316766502000,0,0,2,0
1777316766754000,0,0,2,0
1777316766958000,0,0,2,0
1777316767214000,0,0,2,0
1777316767434000,0,0,2,0
1777316767662000,0,0,2,0
1777316767918000,0,0,2,0
1777316768166000,0,0,2,0
1777316768414000,0,0,2,0
1777316768622000,0,0,2,0
1777316768870000,0,0,2,0
1777316769126000,0,0,2,0
1777316769374000,0,0,2,0
1777316769586000,0,0,2,0
1777316769830000,0,0,2,0
1777316770078000,0,0,2,0
1777316770338000,0,0,2,0
1777316770542000,0,0,2,0
1777316770790000,0,0,2,0
1777316771018000,0,0,2,0
1777316771262000,0,0,2,0
1777316771518000,0,0,2,0
1777316771766000,0,0,2,0
1777316772022000,0,0,2,0
1777316772270000,0,0,2,0
1777316772526000,0,0,2,0
1777316772774000,0,0,2,0
1777316773034000,0,0,2,0
1777316773278000,0,0,2,0
1777316773534000,0,0,2,0
1777316773782000,0,0,2,0
1777316774042000,0,0,2,0
1777316774286000,0,0,2,0
1777316774542000,0,0,2,0
1777316774790000,0,0,2,0
1777316775046000,0,0,2,0
1777316775294000,0,0,2,0
1777316775550000,0,0,2,0
1777316775798000,0,0,2,0
1777316776054000,0,0,2,0
