timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
1777316742498000,1777316742498000,0.99994844,0.0013613928,0.0040361295,0.0092216,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742502000,1777316742502000,0.9999486,0.0013585222,0.003996799,0.009221085,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742506000,1777316742506000,0.99994874,0.0013530293,0.003959904,0.009221648,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742510000,1777316742510000,0.999949,0.0013507972,0.00391346,0.009216326,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742514000,1777316742514000,0.99994946,0.0013516656,0.003848178,0.00920028,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742518000,1777316742518000,0.9999499,0.0013594548,0.003780837,0.009178343,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742522000,1777316742522000,0.9999502,0.0013730383,0.0037186474,0.00915905,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742526000,1777316742526000,0.99995065,0.0013780104,0.0036659683,0.0091392705,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742530000,1777316742530000,0.99995095,0.0013732346,0.0036252004,0.009114212,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742534000,1777316742534000,0.9999513,0.0013620005,0.0035923615,0.009090788,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742542000,1777316742542000,0.9999518,0.0013358702,0.003523365,0.009073759,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742546000,1777316742546000,0.99995214,0.0013295689,0.003468643,0.009055072,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742550000,1777316742550000,0.9999525,0.0013207279,0.0034027037,0.009042771,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742554000,1777316742554000,0.99995273,0.0013086767,0.0033384932,0.009041134,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742562000,1777316742562000,0.9999532,0.0013032032,0.0032594088,0.009022949,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742570000,1777316742570000,0.99995375,0.0013356459,0.003163854,0.008993407,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742578000,1777316742578000,0.99995446,0.0013693878,0.003060673,0.008943579,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742582000,1777316742582000,0.9999549,0.0013636361,0.0030151417,0.008910487,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742590000,1777316742590000,0.9999553,0.0013534656,0.0029484737,0.008883156,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742594000,1777316742594000,0.99995553,0.0013676855,0.002922712,0.008875009,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742602000,1777316742602000,0.9999561,0.0013716723,0.0028206245,0.00883845,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742606000,1777316742606000,0.9999562,0.0013729355,0.0027779215,0.008836683,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742610000,1777316742610000,0.99995637,0.0013715809,0.0027482347,0.008822667,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742614000,1777316742614000,0.9999567,0.0013707448,0.002715378,0.0087932,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742618000,1777316742618000,0.9999569,0.0013717447,0.002682769,0.008779148,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742622000,1777316742622000,0.9999572,0.0013685509,0.0026442562,0.008770958,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742626000,1777316742626000,0.99995726,0.0013570256,0.0026075311,0.008765959,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742634000,1777316742634000,0.9999575,0.0013274449,0.0025705374,0.008749081,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742638000,1777316742638000,0.9999579,0.0013100292,0.0025543123,0.008724394,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742646000,1777316742646000,0.99995846,0.0012827298,0.0024959065,0.008667991,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742654000,1777316742654000,0.99995893,0.0012638095,0.0023896908,0.008650871,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742658000,1777316742658000,0.9999591,0.0012462094,0.0023477662,0.008647089,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742662000,1777316742662000,0.9999594,0.0012322064,0.0023176076,0.008630532,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742670000,1777316742670000,0.9999598,0.0012002445,0.0022667577,0.008597336,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742674000,1777316742674000,0.99996,0.001205086,0.0022562686,0.008577968,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742678000,1777316742678000,0.9999601,0.001209971,0.0022409847,0.008559659,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742682000,1777316742682000,0.9999605,0.0012064758,0.0022277555,0.008534617,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742686000,1777316742686000,0.99996054,0.0012097841,0.0022294943,0.00851277,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742690000,1777316742690000,0.9999606,0.0012120428,0.0022513221,0.008501209,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742698000,1777316742698000,0.9999608,0.0012063481,0.0022680995,0.008488322,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742702000,1777316742702000,0.9999609,0.0012186674,0.0022547191,0.008469894,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742706000,1777316742706000,0.9999611,0.0012317861,0.0022424955,0.008447743,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742714000,1777316742714000,0.9999615,0.0012202199,0.002231099,0.008398272,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742718000,1777316742718000,0.9999621,0.0012119419,0.0022331825,0.008328306,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
