timestamp,flag_armed,flag_multicopter_position_control_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled
1777320736901000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777320737405000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777320737909000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777320738413000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777320738917000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777320739421000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777320739925000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777320740429000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777320740933000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777320741437000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777320741941000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777320742445000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777320742949000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777320743453000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777320743957000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777320744461000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777320744965000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777320745469000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777320745973000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777320746477000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777320746981000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777320747485000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777320747989000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777320748493000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777320748997000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777320749501000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777320750005000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777320750509000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777320751013000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777320751517000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777320752021000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777320752237000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777320752741000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777320753245000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777320753749000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777320754253000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777320754757000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777320755261000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777320755765000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777320756269000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777320756773000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777320757061000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777320757073000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320757577000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320758081000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320758585000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320759089000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320759593000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320760097000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320760601000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320761105000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320761609000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320762113000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320762617000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320763121000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320763625000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320764129000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320764633000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320765137000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320765641000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320766145000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320766649000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320767153000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320767657000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320768161000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320768377000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320768881000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320769385000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320769889000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320770321000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320770825000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320771329000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320771833000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320772337000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320772589000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320772601000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320773105000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320773609000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320774113000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320774617000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320775121000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320775625000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320776129000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320776633000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320777137000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320777645000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320778005000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320778509000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320779013000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320779517000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320779625000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320780129000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320780633000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320781137000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320781641000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320781893000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320782397000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320782901000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320783081000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320783585000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320784089000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320784593000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320785097000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320785601000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320786105000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320786609000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320787113000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320787293000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320787797000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320788301000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320788805000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320789309000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320789813000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320790317000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320790425000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320790929000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320791433000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320791613000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320792117000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320792621000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320793125000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320793629000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320794133000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320794529000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320795033000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320795537000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320795717000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320796221000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320796725000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320797229000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320797733000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320798237000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320798633000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320799137000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320799641000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320799821000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320800325000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320800829000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320801333000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320801837000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320802341000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320802737000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320803241000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320803745000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320803925000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320804429000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320804933000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320805437000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320805941000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320806445000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320806841000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320807345000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320807849000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777320808029000,1,1,0,1,0,1,1,0,1,1,1,1,0
